Citance Number: 1 | Reference Article:  C02-1011.txt | Citing Article:  P03-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We integrate both empirical and symbolic knowledge sources as features into our system which outperforms the best known methods in statistical machine translation. Previous work on defining subtasks within statistical machine translation has been performed on ,e.g., noun-noun pair (Cao and Li, 2002) and named entity translation (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Base Noun Phrase Translation Using Web Data And The EM Algorithm</S><S sid = 1 ssid = >We consider here the problem of Base Noun Phrase translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1011.txt | Citing Article:  P13-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cao and Li (2002) and Ismail and Manandhar (2010) the context of text units is used to identify term mappings.</S> | Reference Offset:  ['113','132'] | Reference Text:  <S sid = 113 ssid = >We view the translation selection problem as that of calculating similarities between context vectors and use as context vectors TF-IDF vectors constructed with the EM Algorithm.</S><S sid = 132 ssid = >The frequency vectors of context words for ?information age?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1011.txt | Citing Article:  P13-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So far as we are aware, only Cao and Li (2002), who treat only base noun phrase (NP) mapping, consider the problem this way.</S> | Reference Offset:  ['1','8'] | Reference Text:  <S sid = 1 ssid = >We consider here the problem of Base Noun Phrase translation.</S><S sid = 8 ssid = >We address here the problem of Base NP translation, in which for a given Base Noun Phrase in a source language (e.g., ?information age?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1011.txt | Citing Article:  P13-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work differs from that of Cao and Li (2002) in several ways. First they consider only terms consisting of noun noun pairs.</S> | Reference Offset:  ['1','50'] | Reference Text:  <S sid = 1 ssid = >We consider here the problem of Base Noun Phrase translation.</S><S sid = 50 ssid = >In this paper, we confine ourselves to translation of noun-noun pairs from English to Chinese; our method, however, can be extended to translations of other types of Base NPs between other language pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


