Citance Number: 1 | Reference Article:  J97-4005.txt | Citing Article:  P99-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, as Abney (1997) points out, the context-sensitive dependencies that unification-based constraints introduce render the relative frequency estimator suboptimal.</S> | Reference Offset:  ['374','375'] | Reference Text:  <S sid = 374 ssid = >Even if the language described by the grammar of interest—that is, the set of possible trees—is context-free, there may well be context-sensitive statistical dependencies.</S><S sid = 375 ssid = >Random fields can be readily applied to capture such statistical dependencies whether or not L(G) is context-sensitive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-4005.txt | Citing Article:  P99-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Abney (1997) proposes a Markov Random Field or log linear model for SUBGs, and the models described here are instances of Abney's general framework.</S> | Reference Offset:  ['51','263'] | Reference Text:  <S sid = 51 ssid = >The models of interest are known as random fields.</S><S sid = 263 ssid = >In this framework, a model consists of: (1) An AV grammar G whose purpose is to define a set of dags L(G).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-4005.txt | Citing Article:  P99-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Abney (1997) proposes a gradient ascent, based upon a Monte Carlo procedure for estimating E0 (fj).</S> | Reference Offset:  ['388','395'] | Reference Text:  <S sid = 388 ssid = >The procedure for adjusting field weights has much the same structure as the procedure for choosing initial weights.</S><S sid = 395 ssid = >The resulting Newton iteration is: The estimation procedure is: procedure Adjust Weights (ai, , an) begin until the field converges do</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-4005.txt | Citing Article:  P11-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later, AVG were enriched with a statistical component (Abney, 1997): stochastic AVG (SAVG).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Stochastic Attribute-Value Grammars</S><S sid = 17 ssid = >Before the advent of statistical methods, regular and context-free grammars were considered too inexpressive for serious consideration, and even now the reliance on stochastic versions of the less-expressive grammars is often seen as an expedient necessitated by the lack of an adequate stochastic version of attribute-value grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J97-4005.txt | Citing Article:  P11-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As Abney (1997) shows, we can not use relatively simple techniques such as relative frequencies to obtain a model for estimating derivation probabilities in attribute-value grammars.</S> | Reference Offset:  ['0','70'] | Reference Text:  <S sid = 0 ssid = >Stochastic Attribute-Value Grammars</S><S sid = 70 ssid = >It is not immediately obvious how to use the ITS algorithm to equip attribute-value grammars with probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


