Citance Number: 1 | Reference Article:  W04-3103.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most clearly relevant study is Light et al (2004) where the focus is on introducing the problem, exploring annotation issues and outlining potential applications rather than on the specificities of the ML approach, though they do present some results using a manually crafted substring matching classifier and a supervised SVM on a collection of Medline abstracts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since results obtained were similar we present only results using stemming and no weights.</S><S sid = NA ssid = NA>For example a human language technology workshop will be held this Spring entitled “Exploring Attitude and Affect in Text: Theories and Applications.” (Qu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3103.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To further elucidate the nature of the task and improve annotation consistency, we have developed a new set of guidelines, building on the work of Light et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, we present a large number of examples to elucidate the variety and nature of the phenomena.</S><S sid = NA ssid = NA>The annotation guidelines in the appendix were used by all annotators.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3103.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we would like to thank the anonymous workshop reviewers for their comments.</S><S sid = NA ssid = NA>(12692226) However, NF-kappaB was increased at 3 h while AP-1 (Jun B and Jun D) and CREB were increased at 15 h. (10755711) We studied the transcript distribution of c-jun, junB and junD in the rat brain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3103.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a baseline classifier we use the substring matching technique of (Light et al, 2004), which labels a sentence as spec if it contains one or more of the following: suggest, potential, likely, may, at least, in part ,possibl, further investigation, unlikely ,putative, insights, point toward, promise and propose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The following 14 strings were identified by Light while annotating the gene regulation abstracts (sets a&b): suggest, potential, likely, may, at least, in part, possibl, potential, further investigation, unlikely, putative, insights, point toward, promise, propose.</S><S sid = NA ssid = NA>A definite sentence contains no speculative fragments.</S> | Discourse Facet:  NA | Annotator: Automatic


