Citance Number: 1 | Reference Article:  H92-1045.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fortunately, we have found in (Gale et al, 1992) that the agreement rate can be very high (96.8%), which is well above the baseline, under very different experimental conditions.</S> | Reference Offset:  ['93','95'] | Reference Text:  <S sid = 93 ssid = >Table 4 shows that there was very high agreement among the judges.</S><S sid = 95 ssid = >The agree- ment rate was 96.8%, averaged over all judges, or 99.1%, averaged over the four best judges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H92-1045.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We originally designed the experiment in Gale et al (1992) to test the hypothesis that multiple uses of a polysemous word tend to have the same sense within a common discourse.</S> | Reference Offset:  ['21','101'] | Reference Text:  <S sid = 21 ssid = >Our word-sense disambiguation algorithm uses the words in a 100-word context 1 surrounding the polysemous word very much like the other two applications use the words in a test document.</S><S sid = 101 ssid = >In other words, there is a very strong tendency (98%) for multiple uses of a word to share the same sense in well-written coherent discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H92-1045.txt | Citing Article:  P14-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We followed the well-known postulate (Gale et al, 1992) that all occurrences of a word in the same discourse tend to have the same sense (one sense per discourse), in order to decrease the annotator workload.</S> | Reference Offset:  ['4','74'] | Reference Text:  <S sid = 4 ssid = >That is, if a polysemous word such as sentence appears two or more times in a well-written discourse, it is extremely likely that they will all share the same sense.</S><S sid = 74 ssid = >A HYPOTHESIS :  ONE SENSE PER DISCOURSE As this work was nearing completion, we observed that senses tend to appear in clumps.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H92-1045.txt | Citing Article:  N03-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to improve the bootstrapping performance, we use the heuristic one tag per domain for multi word NE in addition to the one sense per discourse principle [Gale et al 1992].</S> | Reference Offset:  ['7','113'] | Reference Text:  <S sid = 7 ssid = >In addition, it could also be used to help evaluate disambiguation algorithms that did not make use of the discourse constraint.</S><S sid = 113 ssid = >Rather than tag- ging each instance of a polysemous word one-by-one, we can select discourses with large numbers of the polyse- mous word of interest and tag all of the instances in one fell swoop.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H92-1045.txt | Citing Article:  W03-0106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Apply the 'one sense per discourse' principle [Gale et al1992] for each disambiguated location name to propagate the selected sense to its other mentions within a document.</S> | Reference Offset:  ['21','90'] | Reference Text:  <S sid = 21 ssid = >Our word-sense disambiguation algorithm uses the words in a 100-word context 1 surrounding the polysemous word very much like the other two applications use the words in a test document.</S><S sid = 90 ssid = >54 of the 82 pairs were selected from the same discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


