Citance Number: 1 | Reference Article:  W06-1642.txt | Citing Article:  P14-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various attempts have been made to incorporate discourse relations into sentiment analysis: Pang and Lee (2004) explored the consistency of subjectivity between neighboring sentences; Mao and Lebanon (2007), McDonald et al (2007), and Tackstrom and McDonald (2011a) developed structured learning models to capture sentiment dependencies between adjacent sentences; Kanayama and Nasukawa (2006) and Zhou et al (2011) use discourse relations to constrain two text segments to have either the same polarity or opposite polarities; Trivedi and Eisenstein (2013) and Lazaridou et al (2013) encode the discourse connectors as model features in supervised classifiers.</S> | Reference Offset:  ['7','57'] | Reference Text:  <S sid = 7 ssid = >Extensive syntactic patterns enable us to detect sentiment expressions and to convert them into semantic structures with high precision, as reported by Kanayama et al. (2004).</S><S sid = 57 ssid = >This section describes the last two processes, which are based on a deep sentiment analysis method analogous to machine translation (Kanayama et al., 2004) (hereafter “the MT method”).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-1642.txt | Citing Article:  C10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kanayama and Nasukawa (2006) posited that polar clauses with the same polarity tend to appear successively in contexts.</S> | Reference Offset:  ['3','21'] | Reference Text:  <S sid = 3 ssid = >As a clue to obtain candidate atoms, we use the tendency for same polarities to appear successively in contexts.</S><S sid = 21 ssid = >For lexical learning from unannotated corpora, our method uses context coherency in terms of polarity, an assumption that polar clauses with the same polarity appear successively unless the context is changed with adversative expressions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-1642.txt | Citing Article:  C10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As mentioned in Section 2, Kanayama and Nasukawa (2006) validated that polar text units with the same polarity tend to appear together to make contexts coherent.</S> | Reference Offset:  ['124','131'] | Reference Text:  <S sid = 124 ssid = >We also observed the coherent density of the domain d with the lexicon L defined as: This indicates the ratio of polar clauses that appear in the coherent context, among all of the polar clauses detected by the system.</S><S sid = 131 ssid = >Then, each candidate atom is validated using the two metrics in the previous section, cp and cd, which are calculated from all of the polar clauses found in the domain corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-1642.txt | Citing Article:  P13-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kanayama and Nasukawa (2006) bootstrap subjectivity lexicons for Japanese by generating subjectivity candidates based on word co-occurrence patterns.</S> | Reference Offset:  ['13','187'] | Reference Text:  <S sid = 13 ssid = >Building domain-dependent lexicons for many domains is much harder work than preparing domainindependent lexicons and syntactic patterns, because the possible lexical entries are too numerous, and they may differ in each domain.</S><S sid = 187 ssid = >These lexicons had 0.8, 0.5, 0.2 times the polar atoms, respectively, compared to L. Table 9 shows the precisions and recalls using these lexicons for the learning process.</S> | Discourse Facet:  NA | Annotator: Automatic


