Citance Number: 1 | Reference Article:  C08-1022.txt | Citing Article:  W09-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since the features of machine learned error detectors are often part-of-speech n grams or word word dependencies extracted from parser output (De Felice and Pulman, 2008, for example), it is important to understand how part-of speech taggers and parsers react to particular grammatical errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We show that models of use for these parts of speech can be learned with an accuracy of 70.06% and 92.15% respectively on L1 text, and present first results in an error detection task for L2 writing.</S><S sid = NA ssid = NA>We c ? 2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C08-1022.txt | Citing Article:  W12-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As De Felice and Pulman (2008) did not perform word sense disambiguation, neither did we.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We c ? 2008.</S><S sid = NA ssid = NA>In other words, for learners it seems that the abstract use of this preposition, its benefactive sense, is much more problematic than the spatial sense.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C08-1022.txt | Citing Article:  N10-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Han et al (2006) and De Felice and Pulman (2008) train a maximum entropy classifier.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Han et al (2006) use a maxi mum entropy classifier to detect determiner errors, achieving 83% accuracy.</S><S sid = NA ssid = NA>Izumi et al (2004) train a maximum entropy classifier to recognise various er rors using contextual features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C08-1022.txt | Citing Article:  N10-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best results of 92.15% are reported by De Felice and Pulman (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best reported results to date on determiner selection are those in Turner and Charniak (2007).</S><S sid = NA ssid = NA>We c ? 2008.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C08-1022.txt | Citing Article:  W12-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the context of automated preposition and determiner error correction in L2 English, De Felice and Pulman (2008) noted that the process is often disrupted by misspellings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Classifier-Based Approach to Preposition and Determiner Error Correction in L2 English</S><S sid = NA ssid = NA>We c ? 2008.</S> | Discourse Facet:  NA | Annotator: Automatic


