Citance Number: 1 | Reference Article:  J00-3003.xml | Citing Article:  W13-4047.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['13','14'] | Citation Text:  <S sid ="13" ssid = "2">(Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types.</S><S sid ="14" ssid = "3">They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus.</S> | Reference Offset:  ['214', '358', '392','394'] | Reference Text:  <S sid ="214" ssid = "37">The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986).</S><S sid ="358" ssid = "89">We conducted preliminary experiments to assess how neural networks compare to decision trees for the type of data studied here.</S><S sid ="392" ssid = "123">Table 9 Combined utterance classification accuracies (chance = 35%).</S><S sid ="394" ssid = "125">Discourse Grammar Accuracy (%) Prosody Recognizer Combined None 38.9 42.8 56.5 Unigram 48.3 61.8 62.4 Bigram 49.7 64.3 65.0 Table 10 Accuracy (in %) for individual and combined models for two subtasks, using uniform priors (chance = 50%).</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 2 | Reference Article:  J00-3003.xml | Citing Article:  W12-1634.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Stolcke et al ... 2000 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">To date, the majority of work on dialogue act modeling has addressed spoken dialogue (Samuel et al., 1998; Stolcke et al., 2000; Surendran and Levow, 2006; Bangalore et al., 2008; Sridhar et al., 2009; Di Eugenio et al., 2010).</S> | Reference Offset:  ['68', '71'] | Reference Text:  <S sid ="68" ssid = "68">For the speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity.</S><S sid ="71" ssid = "71">Second, we present results obtained with this approach on a large, widely available corpus of spontaneous conversational speech.</S> | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 3 | Reference Article:  J00-3003.xml | Citing Article:  W12-1634.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">Previous research has leveraged prosodic cues (Sridhar et al., 2009; Stolcke et al., 2000) and facial expressions (Boyer et al., 2011) for automatic dialogue act classification, but other types of nonverbal cues remain unexplored.</S> | Reference Offset:  ['188', '192'] | Reference Text:  <S sid ="188" ssid = "11">The computation of likelihoods P(EIU ) depends on the types of evidence used.</S><S sid ="192" ssid = "15">Prosodic features-Evidence is given by the acoustic features F capturing various aspects of pitch, duration, energy, etc., of the speech signal; the associated likelihoods are P(F I U).</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 4 | Reference Article:  J00-3003.xml | Citing Article:  W10-1012.xml | Citation Marker Offset:  ['185'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['185'] | Citation Text: <S sid ="185" ssid = "6">There have also been Dialogue Acts modeling approaches for automatic tagging and recognition of conversational speech (Stolcke et al., 2000) and related work in corpus linguistics where machine learning techniques have been used to find conversational patterns in spoken transcripts of dialogue corpus (Shawar and Atwell, 2005).</S> | Reference Offset:  ['64', '68'] | Reference Text:  <S sid ="64" ssid = "64">&lt;.1% Hey thanks a lot &lt;.1% The goal of this article is twofold: On the one hand, we aim to present a comprehensive framework for modeling and automatic classification of DAs, founded on well-known statistical methods.</S><S sid ="68" ssid = "68">For the speech recognition task, our framework provides a mathematically principled way to condition the speech recognizer on conversation context through dialogue structure, as well as on nonlexical information correlated with DA identity.</S> | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |

