Citance Number: 1 | Reference Article:  N09-1009.txt | Citing Article:  D12-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cohen et al (2008) and Cohen and Smith (2009) employed the logistic normal prior to model the correlations between grammar symbols.</S> | Reference Offset:  ['16','107'] | Reference Text:  <S sid = 16 ssid = >Cohen et al. used this prior to softly tie grammar weights through the covariance parameters of the LN.</S><S sid = 107 ssid = >Our extension to the model in Cohen et al. (2008) follows naturally after we have defined the shared LN distribution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N09-1009.txt | Citing Article:  P10-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To our knowledge, the only grammar induction work on non-parallel corpora is (Cohen and Smith, 2009), but their method does not model a common grammar, and requires prior information such as part-of-speech tags.</S> | Reference Offset:  ['4','157'] | Reference Text:  <S sid = 4 ssid = >We then experiment with unsupervised dependency grammar induction and show significant improvements using our model for both monolingual learnand with a non-parallel, multilingual corpus.</S><S sid = 157 ssid = >Usually such a setting requires a parallel corpus or other annotated data that ties between those two languages.5 Our bilingual experiments use the English and Chinese treebanks, which are not parallel corpora, to train parsers for both languages jointly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N09-1009.txt | Citing Article:  N10-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cohen and Smith (2009) use more complicated algorithms (variational EM and MBR decoding) and stronger linguistic hints (tying related parts of speech and syntactically similar bilingual data).</S> | Reference Offset:  ['21','122'] | Reference Text:  <S sid = 21 ssid = >We provide a variational EM algorithm for inference.</S><S sid = 122 ssid = >In our experiments, we use this variational EM algorithm on a training set, and then use the normal experts’ means to get a point estimate for θ, the grammar weights.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N09-1009.txt | Citing Article:  D10-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['87','176'] | Reference Text:  <S sid = 87 ssid = >2 gives an example of a non-trivial case of using a SLN distribution, where three multinomials are generated from four normal experts.</S><S sid = 176 ssid = >The authors thank the anonymous reviewers and Sylvia Rebholz for helpful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N09-1009.txt | Citing Article:  P11-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cohen and Smith (2009, 2010) further extended it by using a shared logistic normal prior which provided a new way to encode the knowledge that some POS tags are more similar than others.</S> | Reference Offset:  ['2','93'] | Reference Text:  <S sid = 2 ssid = >This family extends the partitioned logistic normal distribution, enabling factored covariance between the probabilities of different derivation events in the probabilistic grammar, providing a new way to encode prior knowledge about an unknown grammar.</S><S sid = 93 ssid = >We define a shared logistic normal distribution with N “experts” over a collection of K multinomial distributions.</S> | Discourse Facet:  NA | Annotator: Automatic


