Citance Number: 1 | Reference Article:  P09-1042.txt | Citing Article:  P10-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hwa et al (2005) and Ganchev et al (2009) induce dependency grammar via projection from aligned bilingual corpora, and use some thresholds to filter out noise and some hand-written rules to handle heterogeneity.</S> | Reference Offset:  ['12','16'] | Reference Text:  <S sid = 12 ssid = >Alshawi et al. (2000) and Hwa et al.</S><S sid = 16 ssid = >Dependency representation has been used for language modeling, textual entailment and machine translation (Haghighi et al., 2005; Chelba et al., 1997; Quirk et al., 2005; Shen et al., 2008), to name a few tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P09-1042.txt | Citing Article:  P14-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ganchev et al (2009) presented a parser projection approach via parallel text using the posterior regularization framework (Graca et al, 2007).</S> | Reference Offset:  ['19','27'] | Reference Text:  <S sid = 19 ssid = >In this paper, we present a flexible learning framework for transferring dependency grammars via bitext using the posterior regularization framework (Graça et al., 2008).</S><S sid = 27 ssid = >A parallel corpus is word-level aligned using an alignment toolkit (Graça et al., 2009) and the source (English) is parsed using a dependency parser (McDonald et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In 1597 Spanish and Bulgarian projected data extracted by Ganchev et al (2009), the figures are 3.2% and 12.9% respectively.</S> | Reference Offset:  ['96','129'] | Reference Text:  <S sid = 96 ssid = >Link-left baselines for these corpora are much lower: 33.8% and 27.9% for Bulgarian and Spanish respectively.</S><S sid = 129 ssid = >We have a list of 12 Bulgarian auxiliary verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P09-1042.txt | Citing Article:  P11-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ganchev et al (2009) handle partial projected parses by avoiding committing to entire projected tree during training.</S> | Reference Offset:  ['20','171'] | Reference Text:  <S sid = 20 ssid = >In particular, we address challenges (1) and (2) by avoiding commitment to an entire projected parse tree in the target language during training.</S><S sid = 171 ssid = >By enforcing projected dependency constraints approximately and in expectation, our framework allows robust learning from noisy partially supervised target sentences, instead of committing to entire parses.</S> | Discourse Facet:  NA | Annotator: Automatic


