Citance Number: 1 | Reference Article:  N07-1011.txt | Citing Article:  P08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) present a system which uses an online learning approach to train a classifier to judge whether two entities are coreferential or not.</S> | Reference Offset:  ['82','112'] | Reference Text:  <S sid = 82 ssid = >All entity types are candidates for coreference (pronouns, named entities, and nominal entities).</S><S sid = 112 ssid = >Collins and Roark (2004) present an incremental perceptron algorithm for parsing that uses “early update” to update the parameters when an error is encountered.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N07-1011.txt | Citing Article:  P08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our study, we also tested the "Most-X" strategy for the first-order features as in (Culotta et al., 2007), but got similar results without much difference (±0.5% F-measure) in performance.</S> | Reference Offset:  ['55','96'] | Reference Text:  <S sid = 55 ssid = >This approach allows the update to only penalize the difference between the two features of examples, thereby not penalizing features representing any overlapping coreferent clusters.</S><S sid = 96 ssid = >We see that both the first-order features and the training enhancements improve performance consistently. wise Model in F1 measure for both standard training and error-driven training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N07-1011.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The one exception is the size of a cluster (Culotta et al, 2007).</S> | Reference Offset:  ['87','119'] | Reference Text:  <S sid = 87 ssid = >In addition to the listed features, we also include conjunctions of size 2, for example “Genders match AND numbers match”.</S><S sid = 119 ssid = >Luo et al. (2004) do enable features between mention-cluster pairs, but do not perform the error-driven and ranking enhancements proposed in our work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N07-1011.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) also apply online learning in a first-order logic framework that enables non-local features, though using a greedy search algorithm.</S> | Reference Offset:  ['2','128'] | Reference Text:  <S sid = 2 ssid = >In this paper, we propose a machine learning method enables features over noun phrases, resulting in a first-order probabilistic model for coreference.</S><S sid = 128 ssid = >We have presented learning and inference procedures for coreference models using first-order features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N07-1011.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) introduce a first-order probabilistic model which implements features over sets of mentions and thus operates directly on entities.</S> | Reference Offset:  ['0','82'] | Reference Text:  <S sid = 0 ssid = >First-Order Probabilistic Models for Coreference Resolution</S><S sid = 82 ssid = >All entity types are candidates for coreference (pronouns, named entities, and nominal entities).</S> | Discourse Facet:  NA | Annotator: Automatic


