Citance Number: 1 | Reference Article:  J03-1002.txt | Citing Article:  P04-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown et al (1993a) stopped after only one iteration of EM in using Model 1 to initialize their Model 2, and Och and Ney (2003) stop after five iterations in using Model 1 to initialize the HMM word-alignment model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.3.1 Model 6.</S><S sid = NA ssid = NA>This notation indicates that five iterations of Model 1, five iterations of HMM, three iterations of Model 3, three iterations of Model 4, and three iterations of Model 6 are performed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J03-1002.txt | Citing Article:  P04-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The trial and test data had been manually aligned at the word level, noting particular pairs of words either as 'sure' or 'possible' alignments, as described by Och and Ney (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The persons conducting the annotation are asked to specify alignments of two different kinds: an S (sure) alignment, for alignments that are unambiguous, and a P (possible) alignment, for ambiguous alignments.</S><S sid = NA ssid = NA>This can be accomplished by forming the intersection of the sure alignments (S = S1∩S2) and the union of the possible alignments (P = P1∪P2), respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J03-1002.txt | Citing Article:  P04-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We report the performance of our different versions of Model 1 in terms of precision, recall, and alignment error rate (AER) as defined by Och and Ney (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These definitions of precision, recall and the AER are based on the assumption that a recall error can occur only if an S alignment is not found and a precision error can occur only if the found alignment is not even P. The set of sentence pairs for which the manual alignment is produced is randomly selected from the training corpus.</S><S sid = NA ssid = NA>Tables 15 and 16 show precision, recall, and alignment error rate for the last iteration of Model 6 for both translation directions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J03-1002.txt | Citing Article:  P04-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is interesting to contrast our heuristic model with the heuristic models used by Och and Ney (2003) as baselines in their comparative study of alignment models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.1.2 Heuristic Models.</S><S sid = NA ssid = NA>Instead, heuristic models are usually used.</S> | Discourse Facet:  NA | Annotator: Automatic


