Citance Number: 1 | Reference Article:  X96-1048.xml | Citing Article:  A97-1028.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sundheim, 1995b | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b).</S> | Reference Offset:  ['357'] | Reference Text:  <S sid ="357" ssid = "158">In addition, there are plans to put evaluations on line, with public access, starting with the NE evaluation; this is intended to make the NE task familiar to new sites and to give them a convenient and low-pressure way to try their hand at following a standardized test procedure.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 4 | Reference Article:  X96-1048.xml | Citing Article:  J00-4003.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['12','20'] | Citation Text:  <S sid ="12" ssid = "12">As a result, quantitative evaluation is now commonplace in areas of language engineering such as parsing, and quantitative evaluation techniques are being proposed for semantic</S><S sid ="20" ssid = "20"> interpretation as well, for example, at the Sixth and Seventh Message Understa nd­ ing Conferences (MUC6 and MUC7) (Sundheim 1995; Chinchor 1997), which also included evaluations of systems on the so-called coreference task, a subtask of which is the resolution of definite descriptions.</S> | Reference Offset:  ['4', '113'] | Reference Text:  <S sid ="4" ssid = "4">The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time.</S><S sid ="113" ssid = "113">In the middle of the spectrum are definite descriptions and pronouns whose choice of referent is constrained by such factors as structural relations and discourse focus.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 5 | Reference Article:  X96-1048.xml | Citing Article:  J00-4003.xml | Citation Marker Offset:  ['72'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['71','72'] | Citation Text:  <S sid ="71" ssid = "42">The third main result was that we found very little agreement between our sub­ jects on identifying briding descriptions: in our second experiment, the agreement on 5 Previous attempts to annotate anaphoric relations had resulted in very low agreement levels; for.</S><S sid ="72" ssid = "43">example, in the corefercnce annotation experiments for MUC6 (Sundheim 1995), relations other than identity were dropped due to difficulties in annotating them.</S> | Reference Offset:  ['129', '132', '133'] | Reference Text:  <S sid ="129" ssid = "129">In the middle of the effort of preparing the test data for the formal evaluation, an interannotator variability test was conducted.</S><S sid ="132" ssid = "132">There was a large number of factors that contributed to the 20% disagreement, including overlooking coreferential NPs, using different interpretations of vague portions of the guidelines, and making different subjective decisions when the text of an article was ambiguous, sloppy, etc..</S><S sid ="133" ssid = "133">Most human errors pertained to definite descriptions and bare nominals, not to names and pronouns.</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 6 | Reference Article:  X96-1048.xml | Citing Article:  W97-1307.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sund heim, 1995 | Citation Offset:  ['29','30'] | Citation Text:  <S sid ="29" ssid = "29">Algorit hmThis algorithm was first implemented for the MUC 6 FASTUS system (Appelt et al., 1995) , and prod.</S><S sid ="30" ssid = "30">uced one of the top scores (a recall of 59% and precision of 72%) in the MUC6 Coreference Task, which evaluated systems&apos; ability to recog nize coreference among noun phrases (Sund heim, 1995).</S> | Reference Offset:  ['13'] | Reference Text:  <S sid ="13" ssid = "13">• Coreference (CO) --Insert SGML tags into the text to link strings that represent coreferring noun phrases.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |

