Citance Number: 1 | Reference Article:  J04-4004.txt | Citing Article:  W04-3224.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subsequently, we replicated Gildea's experiment with a complete emulation of Model 2 and presented additional evidence that bilexical statistics were barely getting used during decoding (Bikel, 2004), appearing to confirm the original result.</S> | Reference Offset:  ['332','341'] | Reference Text:  <S sid = 332 ssid = >In other words, Gildea removed all bilexical statistics from the overall model.</S><S sid = 341 ssid = >Combined with the results from the previous experiment, this suggests rather convincingly that such statistics are far less significant than once thought to the overall discriminative power of Collins’ models, confirming Gildea’s result for Model 2.36 If not bilexical statistics, then surely, one might think, head-choice is critical to the performance of a head-driven lexicalized statistical parsing model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J04-4004.txt | Citing Article:  W04-3224.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subsequently, we duplicated Gildea's experiment with a complete emulation of Collins' Model 2, and found that when the decoder requested a smoothed estimate involving a bigram when testing on held-out data, it only received an estimate that made use of bilexical statistics a mere 1.49% of the time (Bikel, 2004).</S> | Reference Offset:  ['332','340'] | Reference Text:  <S sid = 332 ssid = >In other words, Gildea removed all bilexical statistics from the overall model.</S><S sid = 340 ssid = >Note that probabilities making use of this full context, that is, making use of bilexical dependencies, are available only 1.49% of the time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J04-4004.txt | Citing Article:  W04-3224.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results of (Bikel, 2004) suggested that the power of Collins-style parsing models did not lie primarily with the use of bilexical dependencies as was once thought, but in lexico-structural dependencies, that is, predicting syntactic structures conditioning on head words.</S> | Reference Offset:  ['18','351'] | Reference Text:  <S sid = 18 ssid = >In addition to the effects of the unpublished details, we also have new evidence to show that the discriminative power of Collins’ model does not lie where once thought: Bilexical dependencies play an extremely small role in Collins’ models (Gildea 2001), and head choice is not nearly as critical as once thought.</S><S sid = 351 ssid = >The answer is that even when one removes bilexical dependencies from the model, there are still plenty of lexico-structural dependencies, that is, structures being generated conditioning on headwords and headwords being generated conditioning on structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J04-4004.txt | Citing Article:  P13-1166.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, the work in this paper relates to Bikel (2004)'s work.</S> | Reference Offset:  ['21','390'] | Reference Text:  <S sid = 21 ssid = >There are three primary motivations for this work.</S><S sid = 390 ssid = >This work was supported in part by NSF grant no.</S> | Discourse Facet:  NA | Annotator: Automatic


