Citance Number: 1 | Reference Article:  J87-1004.txt | Citing Article:  P90-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','276'] | Reference Text:  <S sid = 93 ssid = >This can be avoided by using a tree-structured stack, which is described in the following subsection.</S><S sid = 276 ssid = >Ron Kaplan, Martin Kay, Lauri Karttunen, and Stuart Shieber provided useful comments on the implementation of LFG and dag structure sharing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J87-1004.txt | Citing Article:  P90-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to the work of Lang (1974) and Tomita (1987) extending LR parsers for arbitrary CFGs, the LR parsers for TAGs can be extended to solve by pseudo-parallelism the conflicts of moves.</S> | Reference Offset:  ['69','250'] | Reference Text:  <S sid = 69 ssid = >The pseudo-parallelism works as follows.</S><S sid = 250 ssid = >Despite the availability of left-to-right algorithms, surprisingly few on-line parsers exist.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J87-1004.txt | Citing Article:  C94-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We developed a set of augmented context free grammar rules for general English syntactic analysis and the analyzer is implemented using Tomita LR parsing algorithm (Tomita, 1987).</S> | Reference Offset:  ['0','266'] | Reference Text:  <S sid = 0 ssid = >An Efficient Augmented-Context-Free Parsing Algorithm</S><S sid = 266 ssid = >Thus, morphological rules, as well as syntactic rules, are written in the augmented context-free grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J87-1004.txt | Citing Article:  D07-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The RASP parser is a generalized LR parser which builds a non-deterministic generalized LALR parse table from the grammar (Tomita, 1987).</S> | Reference Offset:  ['47','115'] | Reference Text:  <S sid = 47 ssid = >Figures 2.1 and 2.2 show an example of a non-LR grammar and its parsing table.</S><S sid = 115 ssid = >In this paper, however, we describe the algorithm as a generalized LR parsing algorithm only.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J87-1004.txt | Citing Article:  P03-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >a graph-structured stack (Tomita, 1987) was used to efficiently represent ambiguous index operations in a GIG stack.</S> | Reference Offset:  ['97','105'] | Reference Text:  <S sid = 97 ssid = >We call this a tree-structured stack.</S><S sid = 105 ssid = >However, we do not necessarily have to copy the whole stack: even after different parallel operations on the tree-structured stack, the bottom portion of the stack may remain the same.</S> | Discourse Facet:  NA | Annotator: Automatic


