Citance Number: 1 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['13'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">Two examples of such corpora are the RST Tree Corpus by (Marcu et al., 1999) for English and the Potsdam Commentary Corpus (Stede, 2004) for German.</S> | Reference Offset:  ['6'] | Reference Text:  <S sid ="6" ssid = "6">At present, the â€˜Potsdam Commentary Corpusâ€™ (henceforth â€˜PCCâ€™ for short) consists of 170 commentaries from MaÂ¨rkische Allgemeine Zeitung, a German regional daily.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 2 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['32'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['32'] | Citation Text:  <S sid ="32" ssid = "14">However, when we trained two (experienced) students to annotate the 171 newspaper commentaries of the Potsdam Commentary Corpus (Stede, 2004) and upon completion of the task asked them about their experiences, a very different picture emerged.</S> | Reference Offset:  ['3'] | Reference Text:  <S sid ="3" ssid = "3">A corpus of German newspaper commentaries has been assembled at Potsdam University, and annotated with different linguistic information, to different degrees.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 3 | Reference Article:  W04-0213.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  ['47'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "2">Annotators have to also make syntactic judgements, which is not the case in our approach (where syntax would be done on a different annotation layer, see (Stede, 2004)).</S> | Reference Offset:  ['17','18','113'] | Reference Text:  <S sid ="17" ssid = "1">The corpus has been annotated with six different types of information, which are characterized in the following subsections.</S><S sid ="18" ssid = "2">Not all the layers have been produced for all the texts yet.</S><S sid ="113" ssid = "10">Thus it is possible, for illustration, to look for a noun phrase (syntax tier) marked as topic (information structure tier) that is in a bridging relation (co-reference tier) to some other noun phrase.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


Citance Number: 4 | Reference Article:  W04-0213.txt | Citing Article:  C08-2009.txt | Citation Marker Offset:  ['4'] | Citation Marker:  Stede, 2004 | Citation Offset:  ['4'] | Citation Text:  <S sid ="4" ssid = "4">Discourse structures cannot always be described completely, either because they are ambiguous (Stede, 2004), or because a discourse parser fails to analyse them completely.</S> | Reference Offset:  ['68'] | Reference Text:  <S sid ="68" ssid = "52">For the â€˜coreâ€™ portion of PCC, we found that on average, 35% of the coherence relations in our RST annotations are explicitly signalled by a lexical connective.6 When adding the fact that connectives are often ambiguous, one has to conclude that prospects for an automatic analysis of rhetorical structure using shallow methods (i.e., relying largely on connectives) are not bright â€” but see Sections 3.2 and 3.3 below.</S> | Discourse Facet:  Method_Citation | Annotator:  Aakansha Gehlot |


