Citance Number: 1 | Reference Article:  W94-0319.txt | Citing Article:  W96-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Superficially, the architecture of our system conforms to the standard emerged in natural anguage generation (NLG) (as expressed, for instance in Reiter, 1994) in that it includes the stages of content specification, text planning and surface generation (realization).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The papers I read were not very clear on this issue, but I believe that while most of the systems surveyed use the first acceptable reduction found, FUF in some cases searches for an optimal reduction. choice from surface realization The consensus architecture clearly separates lexical choice of content words (done during sentence planning) from syntactic processing (performed during surface generation).</S><S sid = NA ssid = NA>Content determination takes the initial input to the generation system, which may be, for example, a query to be answered or an intention to be satisfied, and produces from it a 'semantic form', 'conceptual representation', or 'list of propositions', i.e., a specification of the meaning content of the output text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W94-0319.txt | Citing Article:  W00-1417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This separation is now fairly standard and most implementations encapsulate each task in a separate module (Robin 1995), (Reiter 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unfortunately, while all of the systems possessed a module which converted semantic representations into deep syntactic ones, each system used a different name for this module.</S><S sid = NA ssid = NA>Surface Generation: I use this term in a fairly narrow sense here, to mean a module that takes as input an abstract specification of information to be communicated by syntax and function words, and produces as output a surface form that communicates this information (e.g., maps : speechact imperative into an English sentence that lacks a surface subject).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W94-0319.txt | Citing Article:  W01-0813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The summarizer's architecture follows the consensus NLG architecture (Reiter, 1994), including the stages of content calculation and content planning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sentence Planning.</S><S sid = NA ssid = NA>I also compare this 'consensus architecture' among applied NLG systems with psycholinguistic knowledge about how humans speak, and argue that at least some aspects of the consensus architecture seem to be in agreement with what is known about human language production, despite the fact that psycholinguistic plausibility was not in general a goal of the developers of the surveyed systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W94-0319.txt | Citing Article:  W01-0812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This assumes the existence of a separate higher-level process to produce such a representation, following the canonical pipeline architecture of a full generation system (Reiter, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The consensus architecture divides the generation process into multiple modules, with information flowing in a 'pipeline' fashion from one module to the next.</S><S sid = NA ssid = NA>The existence of such agreement among the surveyed systems is especially surprising because in some cases the theoretical backgrounds of the systems examined argue against some aspects of the consensus architecture.</S> | Discourse Facet:  NA | Annotator: Automatic


