Citance Number: 1 | Reference Article:  W06-1670.txt | Citing Article:  W07-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Supersense tagging A WordNet-based supersense tagger (Ciaramita and Altun, 2006).</S> | Reference Offset:  ['31','82'] | Reference Text:  <S sid = 31 ssid = >We define a tagset based on Wordnet’s lexicographers classes, or supersenses (Ciaramita and Johnson, 2003), cf.</S><S sid = 82 ssid = >We take a sequence labeling approach to learning a model for supersense tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-1670.txt | Citing Article:  P14-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['103','208'] | Reference Text:  <S sid = 103 ssid = >For each observed word xi in the data � extracts the following features: described below.</S><S sid = 208 ssid = >(Ciaramita et al., 2005)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-1670.txt | Citing Article:  W08-2121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Columns 1 - 3 were predicted using the tagger of Ciaramita and Altun (2006).</S> | Reference Offset:  ['105','208'] | Reference Text:  <S sid = 105 ssid = >The first sense feature (2) is the label predicted for xi by the baseline model, cf.</S><S sid = 208 ssid = >(Ciaramita et al., 2005)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-1670.txt | Citing Article:  W07-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >grained distinctions of WN (Hearst and Schutze,1993) (Peters et al, 1998) (Mihalcea and Moldovan, 2001) (Agirre et al, 2003) and on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al, 1997) (Ciaramita and Johnson, 2003) (Villarejo et al, 2005) (Curran, 2005) (Ciaramita and Altun, 2006).</S> | Reference Offset:  ['85','208'] | Reference Text:  <S sid = 85 ssid = >The limitations of the generative approach to sequence tagging, i. e. Hidden Markov Models, have been overcome by discriminative approaches proposed in recent years (McCallum et al., 2000; Lafferty et al., 2001; Collins, 2002; Altun et al., 2003).</S><S sid = 208 ssid = >(Ciaramita et al., 2005)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-1670.txt | Citing Article:  S10-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al, 1997), (Ciaramita and Johnson, 2003), (Villarejo et al, 2005), (Curran, 2005), (Kohomban and Lee, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset:  ['14','208'] | Reference Text:  <S sid = 14 ssid = >80s (Carreras et al., 2002; Florian et al., 2003), while Bio-NER accuracy ranges between the low 70s and 80s, depending on the data-set used for training/evaluation (Dingare et al., 2005).</S><S sid = 208 ssid = >(Ciaramita et al., 2005)).</S> | Discourse Facet:  NA | Annotator: Automatic


