Citance Number: 1 | Reference Article:  C96-2183.txt | Citing Article:  P14-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It stands to reason that long sentences will be harder to process automatically and this reasoning has motivated the first approaches to text simplification (Chandrasekar et al, 1996).</S> | Reference Offset:  ['41','156'] | Reference Text:  <S sid = 41 ssid = >We view simplification as a two stage process.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-2183.txt | Citing Article:  W11-2314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chandrasekar et al (1996) introduced a two stage process, first transforming from sentence to syntactic tree, then from syntactic tree to new sentence;.</S> | Reference Offset:  ['41','51'] | Reference Text:  <S sid = 41 ssid = >We view simplification as a two stage process.</S><S sid = 51 ssid = >We assume that the simplification system will process one sentence at a time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-2183.txt | Citing Article:  C10-1152.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The original motivation for sentence simplification is using it as a preprocessor to facilitate parsing or translation tasks (Chandrasekar et al., 1996).</S> | Reference Offset:  ['63','156'] | Reference Text:  <S sid = 63 ssid = >3 FSG based Simplification (Chandrasekar, 1994) discusses an approach that uses a FSG for text simplification as part of a machine aided translation prototype named Vaakya.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-2183.txt | Citing Article:  W11-1603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Early attempts to text simplification were based on rule-based methods where rules were designed following linguistic intuitions (Chandrasekar et al, 1996).</S> | Reference Offset:  ['63','156'] | Reference Text:  <S sid = 63 ssid = >3 FSG based Simplification (Chandrasekar, 1994) discusses an approach that uses a FSG for text simplification as part of a machine aided translation prototype named Vaakya.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C96-2183.txt | Citing Article:  W11-1603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Simplification decisions about whether to simplify a text or sentence have been studied following rule-based paradigms (Chandrasekar et al, 1996) or trainable systems (Petersen and Ostendorf,2007) where a corpus of texts and their simplifications becomes necessary.</S> | Reference Offset:  ['63','156'] | Reference Text:  <S sid = 63 ssid = >3 FSG based Simplification (Chandrasekar, 1994) discusses an approach that uses a FSG for text simplification as part of a machine aided translation prototype named Vaakya.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


