Citance Number: 1 | Reference Article:  C00-1072.txt | Citing Article:  P02-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is similar to the idea of topic signature introduced in (Lin and Hovy 2000).</S> | Reference Offset:  ['26','69'] | Reference Text:  <S sid = 26 ssid = >495 to text categorization and information extraction, the concept of relevancy signatures introduced by her is very similar to the topic si.qnatures we pro- posed in this paper.</S><S sid = 69 ssid = >Our idea is simple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C00-1072.txt | Citing Article:  P14-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a byproduct of our approach, we also propose an extractive summarization model based on phrasal queries to select the summary-worthy sentences in the conversation based on query terms and signature terms (Lin and Hovy, 2000).</S> | Reference Offset:  ['29','39'] | Reference Text:  <S sid = 29 ssid = >They are sentence-based and applied to text categorization.</S><S sid = 39 ssid = >The core of SUMMARIST is based on the follow- ing equation!</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C00-1072.txt | Citing Article:  P14-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a method described in (Lin and Hovy, 2000) in order to identify such term sand their associated weight.</S> | Reference Offset:  ['76','77'] | Reference Text:  <S sid = 76 ssid = >Each t, is an term ldghly correlated to topic with association weight w/.</S><S sid = 77 ssid = >The number of related terms 7z can tie set empirically according to a cutot[ associated weight.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C00-1072.txt | Citing Article:  W09-1312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin and Hovy (2000) first introduced topic signatures which are topic relevant terms for summarization.</S> | Reference Offset:  ['40','74'] | Reference Text:  <S sid = 40 ssid = >: summarization = topic identification + topic interpretation + generation.</S><S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C00-1072.txt | Citing Article:  W09-1312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this regard, we use a method similar to Lin and Hovy (2000) to identify signature terms and subsequently use them to discard sentences that contain none or few such terms.</S> | Reference Offset:  ['143','222'] | Reference Text:  <S sid = 143 ssid = >We expect high rank- ing bigram and trigram signature terms to be very informative.</S><S sid = 222 ssid = >Furthernmre, we use only uni- gram topic signatures fin" evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


