Citance Number: 1 | Reference Article:  P05-1013.txt | Citing Article:  W05-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work by Nivre and Nilsson introduces a technique where the projectivization transformation is encoded in the non-terminals of constituents during parsing (Nivre and Nilsson, 2005).</S> | Reference Offset:  ['65','73'] | Reference Text:  <S sid = 65 ssid = >More details on the parsing algorithm can be found in Nivre (2003).</S><S sid = 73 ssid = >More details on the memory-based prediction can be found in Nivre et al. (2004) and Nivre and Scholz (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1013.txt | Citing Article:  P08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Tsujii (2007)'s dependency parser, based on a probabilistic shift-reduce algorithm extended by the pseudo-projective parsing technique (Nivre and Nilsson, 2005).</S> | Reference Offset:  ['0','65'] | Reference Text:  <S sid = 0 ssid = >Pseudo-Projective Dependency Parsing</S><S sid = 65 ssid = >More details on the parsing algorithm can be found in Nivre (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1013.txt | Citing Article:  W10-1401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bengoetxea and Gojenola (2010) discuss non-projective dependencies in Basque and show that the pseudo-projective transformation of (Nivre and Nilsson, 2005) improves accuracy for dependency parsing of Basque.</S> | Reference Offset:  ['0','104'] | Reference Text:  <S sid = 0 ssid = >Pseudo-Projective Dependency Parsing</S><S sid = 104 ssid = >The overall parsing accuracy obtained with the pseudo-projective approach is still lower than for the best projective parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1013.txt | Citing Article:  P12-3029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For tree banks with non-projective trees we use the pseudo-projective parsing technique to transform the tree bank into projective structures (Nivre and Nilsson, 2005).</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Pseudo-Projective Dependency Parsing</S><S sid = 2 ssid = >We show how a datadriven deterministic dependency parser, in itself restricted to projective structures, can be combined with graph transformation techniques to produce non-projective structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1013.txt | Citing Article:  W10-1403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It uses graph transformation to handle non-projective trees (Nivre and Nilsson, 2005).</S> | Reference Offset:  ['20','74'] | Reference Text:  <S sid = 20 ssid = >In this paper, we show how non-projective dependency parsing can be achieved by combining a datadriven projective parser with special graph transformation techniques.</S><S sid = 74 ssid = >The first experiment uses data from two dependency treebanks.</S> | Discourse Facet:  NA | Annotator: Automatic


