Citance Number: 1 | Reference Article:  C02-1054.txt | Citing Article:  W03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this task, we use a named entity recognizer (Isozaki and Kazawa, 2002).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Efficient Support Vector Classifiers For Named Entity Recognition</S><S sid = 1 ssid = >Named Entity (NE) recognition is a task in whichproper nouns and numerical information are extracted from documents and are classified into cat egories such as person, organization, and date.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1054.txt | Citing Article:  D11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Discriminative classifiers, which directly model the posterior distribution of class label given features, i.e. SVM (Isozaki and Kazawa 2002) and Maximum Entropy model for NER (Chieu and Ng 2003), have been shown to outperform generative model based classifiers.</S> | Reference Offset:  ['52','124'] | Reference Text:  <S sid = 52 ssid = >We sim ply replaced the ME model with SVM classifiers.The above datasets are processed by a morphological analyzer ChaSen 2.2.12.</S><S sid = 124 ssid = >Therefore, the classifiers are very slow.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1054.txt | Citing Article:  W11-0207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several approaches used classifiers such as decision trees or SVMs (Isozaki and Kazawa, 2002).</S> | Reference Offset:  ['90','265'] | Reference Text:  <S sid = 90 ssid = >There are a few approaches to extend SVMs to cover t -class problems.</S><S sid = 265 ssid = >Since it was too slow, we made SVMs faster.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1054.txt | Citing Article:  W05-0610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Isozaki and Kazawa (2002) compared three commonly used methods for named entity recognition the SVM with quadratic kernel, maximal entropy method, and a rule based learning system, and showed that the SVM-based system performed better than the other two.</S> | Reference Offset:  ['38','110'] | Reference Text:  <S sid = 38 ssid = >1.2 SVM-based NE recognition.</S><S sid = 110 ssid = >?SVM?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C02-1054.txt | Citing Article:  C04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Since we used Isozaki's methods (Isozaki and Kazawa, 2002), the run-time complexity is not a problem.) Kudo and Matsumoto (2002) proposed an SVM-based Dependency Analyzer for Japanese sentences.</S> | Reference Offset:  ['39','259'] | Reference Text:  <S sid = 39 ssid = >As far as we know, the first SVM-based NE system was proposed by Yamada et al (2001) for Japanese.His system is an extension of Kudo?s chunking sys tem (Kudo and Matsumoto, 2001) that gave the best performance at CoNLL-2000 shared tasks.</S><S sid = 259 ssid = >We can also reduce the run-time complexity of a multi-class problem by cascading SVMs in the form of a binary tree (Schwenker, 2001) or a directacyclic graph (Platt et al, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


