Citance Number: 1 | Reference Article:  E06-1002.txt | Citing Article:  N07-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E06-1002.txt | Citing Article:  N07-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>With respect to the use of Wikipedia as a resource for natural language processing tasks, the work that is most closely related to ours is perhaps the name entity disambiguation algorithm proposed in (Bunescu and Pasca, 2006), where an SVM kernel is trained on the entries found in Wikipediafor ambiguous named entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A disambiguation SVM kernel is trained to exploit the high coverage and rich structure of the knowledge encoded in an online encyclopedia.</S><S sid = NA ssid = NA>Section 3 describes the extraction of named entity entries (versus other types of entries) fromWikipedia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E06-1002.txt | Citing Article:  N07-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E06-1002.txt | Citing Article:  P14-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first approach in this line was Bunescu and Pasca (2006), who measure similarity between the textual context of the NE mention and the Wikipedia categories of the candidate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1.2 Approach.</S><S sid = NA ssid = NA>4.1 Context-Article Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E06-1002.txt | Citing Article:  P10-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  E06-1002.txt | Citing Article:  P10-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


