Citance Number: 1 | Reference Article:  W95-0103.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Brill and Resnik (1994) applied Error-Driven Transformation Based Learning, Ratnaparkhi, Reynar and Roukos (1994) applied a Maximum Entropy model, Franz (1996) used a Loglinear model, and Collins and Brooks (1995) obtained good results using a BackOff model.</S> | Reference Offset:  ['7','56'] | Reference Text:  <S sid = 7 ssid = >(In this case the VP attachment is correct): NP-attach: (joined ((the board) (as a nonexecutive director))) VP-attach: ((joined (the board)) (as a nonexecutive director)) Work by Ratnaparkhi, Reynar and Roukos [RRR94] and Brill and Resnik [BR94] has considered corpus-based approaches to this problem, using a set of examples to train a model which is then used to make attachment decisions on test data.</S><S sid = 56 ssid = >They use a maximum entropy model which also considers subsets of the quadruple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W95-0103.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As we have argued in Zavrel and Daelemans (1997), this corresponds exactly to the behavior of the Back-Off algorithm of Collins and Brooks (1995), so that it comes as no surprise that the accuracy of both methods is the same.</S> | Reference Offset:  ['90','110'] | Reference Text:  <S sid = 90 ssid = >For this reason the two methods deserve closer comparison.</S><S sid = 110 ssid = >The accuracy figure is then the percentage accuracy on the test cases where the (v, nl, n2) counts were used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W95-0103.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results of Brill's method on the present benchmark were reconstructed by Collins and Brooks (1995).</S> | Reference Offset:  ['54','87'] | Reference Text:  <S sid = 54 ssid = >'Personal communication from Brill.</S><S sid = 87 ssid = >All results are for the IBM data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W95-0103.txt | Citing Article:  W97-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collins and Brooks (1995) used a Back-Off model, which enables them to take low frequency effects into account on the Ratnaparkhi dataset (with good results).</S> | Reference Offset:  ['61','105'] | Reference Text:  <S sid = 61 ssid = >Crucially they ignore low-count events in training data by imposing a frequency cut-off somewhere between 3 and 5.</S><S sid = 105 ssid = >The results were as follows: We have excluded tuples which do not contain a preposition from the model.</S> | Discourse Facet:  NA | Annotator: Automatic


