Citance Number: 1 | Reference Article:  N01-1023.txt | Citing Article:  P09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Co-training (Sarkar, 2001) and classifier combination (Nivre and McDonald, 2008) are two technologies for training improved dependency parsers.</S> | Reference Offset:  ['5','149'] | Reference Text:  <S sid = 5 ssid = >The current crop of statistical parsers share a similar training methodology.</S><S sid = 149 ssid = >These results show that training a statistical parser using our Co-training method to combine labeled and unlabeled data strongly outperforms training only on the labeled data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1023.txt | Citing Article:  W04-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In natural language learning, co-training was applied to statistical parsing (Sarkar, 2001), reference resolution (Ng and Cardie, 2003), part of speech tagging (Clark et al., 2003), and others, and was generally found to bring improvement over the case when no additional unlabeled data are used.</S> | Reference Offset:  ['114','139'] | Reference Text:  <S sid = 114 ssid = >The two-step procedure used in our Co-Training method for statistical parsing was incipient in the SuperTagger (Srinivas, 1997) which is a statistical model for tagging sentences with elementary lexicalized structures.</S><S sid = 139 ssid = >Also, EM has been used successfully in text classification in combination of labeled and unlabeled data (see (Nigam et al., 1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1023.txt | Citing Article:  N03-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The other approach, and the focus of this paper, is co-training (Sarkar, 2001), a mostly unsupervised algorithm that replaces the human by having two (or more) parsers label training examples for each other.</S> | Reference Offset:  ['140','142'] | Reference Text:  <S sid = 140 ssid = >• In our experiments, unlike (Blum and Mitchell, 1998) we do not balance the label priors when picking new labeled examples for addition to the training data.</S><S sid = 142 ssid = >In this paper, we proposed a new approach for training a statistical parser that combines labeled with unlabeled data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1023.txt | Citing Article:  P08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Feature-based integration also has points in common with co-training, which have been applied to syntactic parsing by Sarkar (2001) and Steedman et al.</S> | Reference Offset:  ['4','104'] | Reference Text:  <S sid = 4 ssid = >Using empirical results based on parsing the Wall Street Journal corpus we show that training a statistical parser on the combined labeled and unlabeled data strongly outperforms training only on the labeled data.</S><S sid = 104 ssid = >We used EVALB (written by Satoshi Sekine and Michael Collins) which scores based on PARSEVAL (Black et al., 1991); with the standard parameter file (as per standard practice, part of speech brackets were not part of the evaluation).</S> | Discourse Facet:  NA | Annotator: Automatic


