Citance Number: 1 | Reference Article:  P89-1009.txt | Citing Article:  P97-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','140'] | Reference Text:  <S sid = 43 ssid = >I f  the status includes the features [centre, +] and [oblig,-], then this participant should be omitted from the surface semantic struc- ture altogether.</S><S sid = 140 ssid = >London: Garland Pub- lishing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P89-1009.txt | Citing Article:  P97-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Full brevity, the strongest interpretation, is underlying Dale's algorithm (Dale, 1989), which produces a description entailing the minimal number of attributes possible, at the price of suffering NP-hard complexity.</S> | Reference Offset:  ['57','74'] | Reference Text:  <S sid = 57 ssid = >Suppose, also, that the domain includes a number of attributes (a I, a~, and so on), and that each attribute has a number of permissible values {v,,t, v,,2, and so on}; and that each entity is described by a set of attribute- value pairs.</S><S sid = 74 ssid = >However, the benefit gained from doing this (if indeed it is a valid thing to do) is minimal in the current context because of the small number of entities we are dealing with.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P89-1009.txt | Citing Article:  P97-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two other interpretations, the Greedy heuristic interpretation (Dale, 1989) and the local brevity interpretation (Reiter, 1990a) lead to algorithms that have polynomial complexity in the same order of magnitude.</S> | Reference Offset:  ['12','58'] | Reference Text:  <S sid = 12 ssid = >In order to permit the representation f enti- ties such as these, EPICURE makes use of a notion of a generalized physical object or physob].</S><S sid = 58 ssid = >In order to distinguish z~ from the other entities in U, we need to find some set of attribute-value pairs which are together true of zl, but of no other entity in U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P89-1009.txt | Citing Article:  W08-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','140'] | Reference Text:  <S sid = 43 ssid = >I f  the status includes the features [centre, +] and [oblig,-], then this participant should be omitted from the surface semantic struc- ture altogether.</S><S sid = 140 ssid = >London: Garland Pub- lishing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P89-1009.txt | Citing Article:  W06-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Presented in (Dale, 1989), (Dale and Haddock, 1991) and (Reiter and Dale, 1992), we explore how well these algorithms perform in the same context.</S> | Reference Offset:  ['103','108'] | Reference Text:  <S sid = 103 ssid = >Dale, Robert (1988) The Generation ofSubsequent Referring Expressions in Structured Discourses.</S><S sid = 108 ssid = >Dale, Robert (1989b) Generating Referring Ex- pressions in a Domain of Objects and Processes.</S> | Discourse Facet:  NA | Annotator: Automatic


