Citance Number: 1 | Reference Article:  J00-4005.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >With such a concept hierarchy as well as semantic relations with a precisely defined signature, we can for example overcome annotation problems of intensionality and predication as discussed in (van Deemter and Kibble, 2000).</S> | Reference Offset:  ['71','119'] | Reference Text:  <S sid = 71 ssid = >Problems posed to coreference annotation by intensionality (Hirschman et al. 1997) have motivated considerable complications in the TD.</S><S sid = 119 ssid = >Criterion 4 has been discussed above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J00-4005.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In line with (Krahmer and Piwek, 2000) and (van Deemter and Kibble, 2000) this is in our view a too strict definition of anaphora so that we propose a more relation-based classification of anaphoric and bridging relations.</S> | Reference Offset:  ['26','53'] | Reference Text:  <S sid = 26 ssid = >Anaphoric and coreferential relations can coincide, of course, but not all coreferential relations are anaphoric, nor are all anaphoric relations coreferential.</S><S sid = 53 ssid = >Nonreferring NPs can enter anaphoric relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J00-4005.txt | Citing Article:  W03-1903.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The core scheme is in principle identical with the MUC coreference scheme and is restricted to the annotation of coreference in the sense of (van Deemter and Kibble, 2000).</S> | Reference Offset:  ['0','74'] | Reference Text:  <S sid = 0 ssid = >On Coreferring: Coreference In MUC And Related Annotation Schemes</S><S sid = 74 ssid = >(Similar strategies seem to be van Deemter and Kibble On Coreferring adopted by most practitioners of coreference annotation, e.g., Cristea et al. [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J00-4005.txt | Citing Article:  P10-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, despite a critical discussion in the MUC task definition (van Deemter and Kibble, 2000), the ACE scheme continues to treat nominal predicates and appositive phrases as coreferential.</S> | Reference Offset:  ['30','56'] | Reference Text:  <S sid = 30 ssid = >Because the MUC project is the bestknown example of coreference annotation, on which much subsequent work is based, and because of the public availability of the MUC Task Definition (TD, Hirschman and Chinchor 11997D, we will focus on MUC.</S><S sid = 56 ssid = >Even so, the MUC TD asks annotators to treat them as if it was applicable.</S> | Discourse Facet:  NA | Annotator: Automatic


