Citance Number: 1 | Reference Article:  C94-1079.txt | Citing Article:  W97-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Principle-based parsers are also designed with universal grammar in mind (Lin 1994), but have yet to demonstrate large scale coverage in several languages.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C94-1079.txt | Citing Article:  C10-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we adopt Minipar (Lin, 1994) to parse sentences and to construct syntactic trees.</S> | Reference Offset:  ['17','67'] | Reference Text:  <S sid = 17 ssid = >Then, a message passing algorithm for OB-parsing is used to construct a shared parse forest.</S><S sid = 67 ssid = >The parse trees of the input sentence can be retrieved h'om the parse forest one by one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C94-1079.txt | Citing Article:  P06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >English dependency trees are provided by Minipar (Lin, 1994).</S> | Reference Offset:  ['1','67'] | Reference Text:  <S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S><S sid = 67 ssid = >The parse trees of the input sentence can be retrieved h'om the parse forest one by one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C94-1079.txt | Citing Article:  W07-1419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is based on Principar, which is described in Lin (1994).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 4 ssid = >Principle-based grammars, such as Govern- ment-Binding (GB) theory (Chomsky, 1981; Haegeman, 1991), offer many advantages over rule-based and unification-based grammars, such as the universality ofprinciples and mod- ularity of components in the grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C94-1079.txt | Citing Article:  N03-4011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These features are obtained by parsing a large corpus using Minipar (Lin 1994), a broad-coverage English parser.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


