Citance Number: 1 | Reference Article:  P02-1051.txt | Citing Article:  N09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Web counts are frequently used to automatically re-rank candidate lists for various NLP tasks (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  ['194','195'] | Reference Text:  <S sid = 194 ssid = >Straight Web Counts re-score candidates based on their Web counts.</S><S sid = 195 ssid = >Contextual Web Counts uses Web counts within a given context (we used here title of the document as the contextual information).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1051.txt | Citing Article:  D10-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, (Al-Onaizan and Knight, 2002) uses transliteration to generate candidates and then web corpora to identify translations.</S> | Reference Offset:  ['194','195'] | Reference Text:  <S sid = 194 ssid = >Straight Web Counts re-score candidates based on their Web counts.</S><S sid = 195 ssid = >Contextual Web Counts uses Web counts within a given context (we used here title of the document as the contextual information).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1051.txt | Citing Article:  W06-1672.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Al-Onaizan and Knight 2002) showed that use of outside linguistic resources such as WWW counts of transliteration candidates can greatly boost transliteration accuracy.</S> | Reference Offset:  ['52','110'] | Reference Text:  <S sid = 52 ssid = >Transliteration between languages that use similar alphabets and sound systems is very simple.</S><S sid = 110 ssid = >In that case we use the counts of the longer phrase to re-rank the candidates of the shorter one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1051.txt | Citing Article:  W06-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','220'] | Reference Text:  <S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S><S sid = 220 ssid = >This work was supported by DARPA-ITO grant N66001-00-1-9814.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1051.txt | Citing Article:  P06-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A spelling-based model is described in (Al-Onaizan and Knight, 2002a; Al-Onaizan and Knight, 2002c) that directly maps English letter sequences into Arabic letter sequences with associated probability that are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Reference Offset:  ['57','68'] | Reference Text:  <S sid = 57 ssid = >For example, English P and B are both mapped into Arabic “ b”; Arabic “ h. ” and “ h-” into English H; and so on.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


