Citance Number: 1 | Reference Article:   W03-0410.xml | Citing Article:  D07-1018.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Stevenson and Joanis, 2003 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset:  ['11'] | Reference Text:  <S sid ="11" ssid = "11">We focus here on extending the applicability of unsupervised methods, as in (Schulte im Walde and Brew, 2002; Stevenson and Merlo, 1999), to the lexical semantic classification of verbs.</S> | Discourse Facet:  Method_Citation | Annotator:  Fathima Vardha |


Citance Number: 2 | Reference Article:   W03-0410.xml | Citing Article:  D09-1138.xml | Citation Marker Offset:  ['25'] | Citation Marker:  Stevenson and Joanis, 2003 | Citation Offset:  ['25'] | Citation Text:  <S sid ="25" ssid = "25">Supervised methods for automatic verb classification have been extensively investigated (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset:  ['15'] | Reference Text:  <S sid ="15" ssid = "15">Development of minimally supervised methods is of particular importance if we are to automatically classify verbs for languages other than English, where substantial amounts of labelled data are not available for training classifiers.</S> | Discourse Facet:  Implication_Citation | Annotator:  Fathima Vardha |


Citance Number: 3 | Reference Article:   W03-0410.xml | Citing Article:  D09-1138.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Stevenson and Joanis, 2003 | Citation Offset:  ['70'] | Citation Text: <S sid ="70" ssid = "43">The present work inherits the spirit of the supervised approaches to verb classification (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">We have previously shown that a broad set of 220 noisy features performs well in supervised verb classification (Joanis and Stevenson, 2003).</S> | Discourse Facet:  Results_Citation | Annotator:  Fathima Vardha |


Citance Number: 4 | Reference Article:   W03-0410.xml | Citing Article:  D11-1095.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Stevenson and Joanis, 2003 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">We adopt as our baseline method a well-known hierarchical method – agglomerative clustering (AGG) – which has been previously used to acquire flat Levin-style classifications (Stevenson and Joanis, 2003)</S> | Reference Offset:  ['131'] | Reference Text:  <S sid ="131" ssid = "2">We used the hierarchical clustering command in Matlab, which implements bottom-up agglomerative clustering, for all our unsupervised experiments.</S> | Discourse Facet:  Method_Citation | Annotator:  Fathima Vardha |


