Citance Number: 1 | Reference Article:  W02-1021.txt | Citing Article:  P03-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The generation of word graphs for a bottom-top search with the IBM constraints is described in (Ueffing et al, 2002).</S> | Reference Offset:  ['0','22'] | Reference Text:  <S sid = 0 ssid = >Generation Of Word Graphs In Statistical Machine Translation</S><S sid = 22 ssid = >In this paper, we are going to present a concept for the generation of word graphs in a machine translation system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-1021.txt | Citing Article:  P14-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is sometimes referred to as a word graph (Ueffing et al, 2002), although in our case the segmented phrase table also produces tokens that correspond to morphemes.</S> | Reference Offset:  ['66','67'] | Reference Text:  <S sid = 66 ssid = >The word graph density is computed as the total number of word graph edges divided by the number of reference sentence words — analogously to the word graph density in speech recognition.</S><S sid = 67 ssid = >The effect of pruning on the graph error rate is shown in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-1021.txt | Citing Article:  D08-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A word graph is a weighted directed acyclic graph, in which each node represents a partial translation hypothesis and each edge is labelled with a word of the target sentence and is weighted according to the scores given by an SMT model (see (Ueffing et al, 2002) for more details).</S> | Reference Offset:  ['55','61'] | Reference Text:  <S sid = 55 ssid = >As rest cost estimation, we use the probabilities determined in a backward pass as follows: for each node in the graph, we calculate the probability of a best path from this node to the goal node, i.e. the highest probability for completing a partial hypothesis.</S><S sid = 61 ssid = >The graph error rate is computed by determining that sentence in the word graph that has the minimum Levenstein distance to a given reference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-1021.txt | Citing Article:  D11-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The decoder involves generating a phrase lattice (Ueffing et al, 2002) in a coarse pass using a phrase-based model, followed by lattice dependency parsing of the phrase lattice.</S> | Reference Offset:  ['50','52'] | Reference Text:  <S sid = 50 ssid = >This method combines both advantages in the following way: a word graph is constructed using a bigram language model and is then rescored with a trigram language model.</S><S sid = 52 ssid = >The results of the comparison of the one-pass and the two-pass search are given in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W02-1021.txt | Citing Article:  N07-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea of n-best list extraction from a word graph for SMT was presented in (Ueffing et al, 2002).</S> | Reference Offset:  ['73','75'] | Reference Text:  <S sid = 73 ssid = >We have presented a concept for constructing word graphs for statistical machine translation by extending the single best search algorithm.</S><S sid = 75 ssid = >The quality of the hypotheses contained in a word graph is better than of those in an N-best list.</S> | Discourse Facet:  NA | Annotator: Automatic


