Citance Number: 1 | Reference Article:  W00-0403.txt | Citing Article:  W01-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Obviously, intrinsic evaluation is more reliable, but it remains an extremely laborious process, where inter-judge disagreement is still an issue, see (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are in the process of running experiments with other SCORE formulas.</S><S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W00-0403.txt | Citing Article:  H05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first of these, relative utility (RU) (Radev et al,2000) allows model summaries to consist of sentences with variable ranking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>MEAD decides which sentences to include in the extract by ranking them according to a set of parameters.</S><S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W00-0403.txt | Citing Article:  H05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For details see (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S><S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W00-0403.txt | Citing Article:  W03-2805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Three judges have assessed the sentences in each cluster and have provided a score on a scale from 0 to 10 (i.e. utility judgement), expressing how important the sentence is for the topic of the cluster (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Cluster-based sentence utility (CBSU, or utility) refers to the degree of relevance (from 0 to 10) of a ' particular sentence to the general topic of the entire cluster (for a dis cussion of what is a topic, see [Allan et al. 1998]).</S><S sid = NA ssid = NA>First, six judges were each given six clusters and asked to ascribe an importance score from 0 to 10 to each sentence within a particular cluster.</S> | Discourse Facet:  NA | Annotator: Automatic


