Citance Number: 1 | Reference Article:  P00-1071.txt | Citing Article:  W01-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As we look for the future, in order to address questions of higher classes we need to handle real-time knowledge acquisition and classification from different domains, coreference, metonymy, special-purpose reasoning, semantic indexing and other advanced techniques.</S><S sid = NA ssid = NA>The Zprise IR engine was built using a cosine vector space model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P00-1071.txt | Citing Article:  W01-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Template-based questions and summary asking inquiries cover most of the classes of question complexity proposed in (Moldovan et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Secondly, the search for the answer is based on a novel form of indexing, called paragraph indexing (Moldovan and Mihalcea 2000).</S><S sid = NA ssid = NA>Finally, in order to extract answers and to evaluate their correctness, we use a battery of abductive techniques (Hobbs et al.1993), some based on empirical methods, some on lexicosemantic information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P00-1071.txt | Citing Article:  D12-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Correcting this would require a model that jointly models content and bi grams (Hardisty et al., 2010), has a co reference system as its content model (Haghighi and Klein, 2007), or determines the correct question type (Moldovan et al 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Zprise IR engine was built using a cosine vector space model.</S><S sid = NA ssid = NA>2 Overview of the LASSO Q/A System The architecture of LASSO (Moldovan, Harabagiu et. al 1999) comprises three modules: Question Processing module, Paragraph Indexing module and Answer Processing module.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P00-1071.txt | Citing Article:  W02-0507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As we look for the future, in order to address questions of higher classes we need to handle real-time knowledge acquisition and classification from different domains, coreference, metonymy, special-purpose reasoning, semantic indexing and other advanced techniques.</S><S sid = NA ssid = NA>The Zprise IR engine was built using a cosine vector space model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P00-1071.txt | Citing Article:  P01-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some Q&A systems, like (Moldovan et al, 2000) relied both on NE recognizers and some empirical indicators.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, in order to extract answers and to evaluate their correctness, we use a battery of abductive techniques (Hobbs et al.1993), some based on empirical methods, some on lexicosemantic information.</S><S sid = NA ssid = NA>Thus we classify the QA systems, not the questions.</S> | Discourse Facet:  NA | Annotator: Automatic


