Citance Number: 1 | Reference Article:  H91-1026.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >), though it is not clear just how common this is.</S><S sid = 213 ssid = >Warwick, S. and G. Russell (1990) "Bilingual Coneordaneing and Bilingual Lexicography," Euralex 1990.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H91-1026.txt | Citing Article:  N07-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also used the phi2 score (Gale and Church, 1991) as a word association model, and as a POS-tags association model.</S> | Reference Offset:  ['105','210'] | Reference Text:  <S sid = 105 ssid = >Unfortunately, it is not very good at deciding which association is stronger.</S><S sid = 210 ssid = >Gale, W. and K. Church (1990) "A Program for Aligning Sentences in Bilingual Corpora," unpublished ms., submitted to 29 th Annual Meeting of the Association for Computational Linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H91-1026.txt | Citing Article:  C02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >), though it is not clear just how common this is.</S><S sid = 213 ssid = >Warwick, S. and G. Russell (1990) "Bilingual Coneordaneing and Bilingual Lexicography," Euralex 1990.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H91-1026.txt | Citing Article:  C02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >), though it is not clear just how common this is.</S><S sid = 213 ssid = >Warwick, S. and G. Russell (1990) "Bilingual Coneordaneing and Bilingual Lexicography," Euralex 1990.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H91-1026.txt | Citing Article:  C96-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Motivated by the need to reduce on the memory requirement and to insure robustness in estimation of probability, Gale and Church (1991) proposed an alternative algorithm in which probabilities are not estimated and stored for all word pairs.</S> | Reference Offset:  ['69','84'] | Reference Text:  <S sid = 69 ssid = >We decided to look for an alternative estimation algorithm for two reasons.</S><S sid = 84 ssid = >Contingency Tables Because of the memory and robustness questions, we decided to explore an alternative to the EM algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


