Citance Number: 1 | Reference Article:  D09-1101.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by NSF Grant IIS-0812261.</S><S sid = NA ssid = NA>These features have largely been employed by state-of-the-art learning-based coreference systems (e.g., Soon et al. (2001), Ng and Cardie (2002b), Bengtson and Roth (2008)), and are computed automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1101.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by NSF Grant IIS-0812261.</S><S sid = NA ssid = NA>These features have largely been employed by state-of-the-art learning-based coreference systems (e.g., Soon et al. (2001), Ng and Cardie (2002b), Bengtson and Roth (2008)), and are computed automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1101.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison purposes, the B3None variant used on A05RA is calculated slightly differently than other B3None results; see Rahman and Ng (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For illustrative purposes, we will use the text segment shown in Figure 1.</S><S sid = NA ssid = NA>However, this is not the case when system mentions are used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1101.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Stoyanov et al (2009) numbers represent their THRESHOLD ESTIMATION setting and the Rahmanand Ng (2009) numbers represent their highest performing cluster ranking model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Luo et al. (2004) represent one of the earliest attempts to investigate learning-based entity-mention models.</S><S sid = NA ssid = NA>Our cluster-ranking model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1101.txt | Citing Article:  W12-4509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The set of features that we use, listed in Table 5, is an extension of the set by Rahman and Ng (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Specifically, for each feature X shown in the last two blocks in Table 1, we first convert X into an equivalent set of binary-valued features if it is multi-valued.</S><S sid = NA ssid = NA>The feature set used to represent the instance is primarily composed of features that describe the relationship between mj and mk, as well as a few cluster-level features.</S> | Discourse Facet:  NA | Annotator: Automatic


