Citance Number: 1 | Reference Article:  H05-1043.txt | Citing Article:  W06-1642.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni (2005) achieved high-precision opinion phrases extraction by using relaxation labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The key components of OPINE described in this paper are the PMI feature assessment which leads to high-precisionfeature extraction and the use of relaxation-labeling in or der to find the semantic orientation of potential opinionwords.</S><S sid = NA ssid = NA>Each of the SO label assignment subtasks previously identified is solved using a relaxation labeling step.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H05-1043.txt | Citing Article:  P14-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Popescu and Etzioni, 2005) and (Qiu et al, 2011) designed syntactic patterns to perform this task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>OPINE is built on top of the Know ItAll Web information-extraction system (Etzioni et al, 2005) as detailed in Section 3.</S><S sid = NA ssid = NA>OPINE is built on top of KnowItAll, a Web-based,domain-independent information extraction system (Et zioni et al, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H05-1043.txt | Citing Article:  P12-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni (2005) proposed a relaxed labeling approach to utilize linguistic rules for opinion polarity detection.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.3 Finding Opinion Phrases and Their Polarity.</S><S sid = NA ssid = NA>The sentences were annotated with the opinion phrases corresponding to the known features and with the opinion polarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H05-1043.txt | Citing Article:  P14-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H05-1043.txt | Citing Article:  C10-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


