Citance Number: 1 | Reference Article:  D08-1036.txt | Citing Article:  P13-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gao and Johnson (2008) compare EM, VB and GS for unsupervised English POS tagging.</S> | Reference Offset:  ['30','89'] | Reference Text:  <S sid = 30 ssid = >On the other hand, Goldwater and Griffiths (2007) reported that the same kind of Gibbs sampler produced much better results than EM on their unsupervised POS tagging task.</S><S sid = 89 ssid = >In this section we compare their performance for English part-ofspeech tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1036.txt | Citing Article:  D10-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a Gibbs sampler (Gao and Johnson, 2008) to learn the parameters of this and all other models under consideration.</S> | Reference Offset:  ['33','71'] | Reference Text:  <S sid = 33 ssid = >It turns out that the Gibbs sampler used in these earlier papers is not the only kind of sampler for HMMs.</S><S sid = 71 ssid = >An explicit sampler represents and samples the HMM parameters 0 and 0 in addition to the states t, while in a collapsed sampler the HMM parameters are integrated out, and only the states t are sampled.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1036.txt | Citing Article:  N10-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All of these methods maintain distributions over (or settings of) the latent variables of the model and update the representation iteratively (see Gao and Johnson (2008) for an overview in the context of POS induction).</S> | Reference Offset:  ['27','28'] | Reference Text:  <S sid = 27 ssid = >Monte Carlo sampling methods and Variational Bayes are two kinds of approximate inference methods that have been applied to Bayesian inference of unsupervised HMM POS taggers (Goldwater and Griffiths, 2007; Johnson, 2007).</S><S sid = 28 ssid = >These methods can also be used to approximate other distributions that are important to us, such as the conditional distribution P(t  |w) of POS tags (i.e., HMM hidden states) t given words w. This recent literature reports contradictory results about these Bayesian inference methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1036.txt | Citing Article:  N10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gao and Johnson (2008) employed blocked sampling for POS tagging, and the approach works nicely for arbitrary derivation lattices.</S> | Reference Offset:  ['66','127'] | Reference Text:  <S sid = 66 ssid = >First, the sampler can either be pointwise or blocked.</S><S sid = 127 ssid = >Inspired by this, one can devise hybrid strategies that interleave blocked and pointwise sampling; these might perform better than both the blocked and pointwise samplers described here.</S> | Discourse Facet:  NA | Annotator: Automatic


