Citance Number: 1 | Reference Article:  W11-2123.txt | Citing Article:  W11-2138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used common tools for phrase-based translation Moses (Koehn et al, 2007) decoder and tools, SRILM (Stolcke, 2002) and KenLM (Heafield, 2011) for language modelling and GIZA++ (Och and Ney, 2000) for word alignments.</S> | Reference Offset:  ['21','97'] | Reference Text:  <S sid = 21 ssid = >Performance improvements transfer to the Moses (Koehn et al., 2007), cdec (Dyer et al., 2010), and Joshua (Li et al., 2009) translation systems where our code has been integrated.</S><S sid = 97 ssid = >SRILM (Stolcke, 2002) is widely used within academia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W11-2123.txt | Citing Article:  P14-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The language model was compiled into KenLM probing format (Heafield, 2011) and placed in RAM while text phrase tables were forced into the disk cache before each run.</S> | Reference Offset:  ['0','223'] | Reference Text:  <S sid = 0 ssid = >KenLM: Faster and Smaller Language Model Queries</S><S sid = 223 ssid = >The binary language model from Section 5.2 and text phrase table were forced into disk cache before each run.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W11-2123.txt | Citing Article:  W12-3145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While this increases the number of LM queries, we exploit the language model state in formation in KenLM (Heafield, 2011) to optimize the queries by saving the scores for the unchanged states.</S> | Reference Offset:  ['0','151'] | Reference Text:  <S sid = 0 ssid = >KenLM: Faster and Smaller Language Model Queries</S><S sid = 151 ssid = >In this section, we extend state to optimize left-to-right queries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W11-2123.txt | Citing Article:  W12-3131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our translation system uses cdec (Dyer et al,2010), an implementation of the hierarchical phrase based translation model (Chiang, 2007) that uses the KenLM library (Heafield, 2011) for language model inference.</S> | Reference Offset:  ['21','268'] | Reference Text:  <S sid = 21 ssid = >Performance improvements transfer to the Moses (Koehn et al., 2007), cdec (Dyer et al., 2010), and Joshua (Li et al., 2009) translation systems where our code has been integrated.</S><S sid = 268 ssid = >For example, syntactic decoders (Koehn et al., 2007; Dyer et al., 2010; Li et al., 2009) perform dynamic programming parametrized by both backward- and forward-looking state.</S> | Discourse Facet:  NA | Annotator: Automatic


