Citance Number: 1 | Reference Article:  P90-1010.txt | Citing Article:  P11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As initiative passes back and forth between discourse participants, control over the conversation similarly transfers from one speaker to another (Walker and Whittaker, 1990).</S> | Reference Offset:  ['15','27'] | Reference Text:  <S sid = 15 ssid = >As INITIATIVE passes back and forth between the discourse participants, we say that CONTROL over the conversation gets trans- ferred from one discourse participant to another.</S><S sid = 27 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton[WS88].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P90-1010.txt | Citing Article:  N07-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Walker and Whittaker (1990) found a correlation between initiative switches and discourse segments.</S> | Reference Offset:  ['305','312'] | Reference Text:  <S sid = 305 ssid = >Marilyn A. Walker.</S><S sid = 312 ssid = >Discourse deixis: Reference to discourse segments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P90-1010.txt | Citing Article:  W01-1607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >After experimenting with several tagging methods, we concluded that the approach presented in Walker and Whittaker (1990) adopted from (Whittaker and Stenton, 1988) best captured the aspects of the dialogue we were interested in and, as with the DAs, could be tagged reliably on our data.</S> | Reference Offset:  ['147','314'] | Reference Text:  <S sid = 147 ssid = >The differences in the beliefs and knowledge states of the participants can be interpreted in the terms of the collaborative planning principles of Whittaker and Stenton[WS88].</S><S sid = 314 ssid = >Steve Whittaker and Phil Stenton.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P90-1010.txt | Citing Article:  P08-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Before embarking on an exhaustive manual annotation of initiative, I chose to get a sense of whether initiative may indeed affect learning in this context by automatically tagging for initiative using an approximation of Walker and Whittaker's utterance based allocation of control rules (Walker and Whittaker, 1990).</S> | Reference Offset:  ['27','305'] | Reference Text:  <S sid = 27 ssid = >We model mixed-initiative using an utterance type classification and a set of rules for transfer of control between discourse participants that were proposed by Whittaker and Stenton[WS88].</S><S sid = 305 ssid = >Marilyn A. Walker.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P90-1010.txt | Citing Article:  P08-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Walker and Whittaker claim that initiative encompasses both dialogue control and task control (Walker and Whittaker, 1990), however, several others disagree.</S> | Reference Offset:  ['0','305'] | Reference Text:  <S sid = 0 ssid = >Mixed Initiative in Dialogue: An Investigation into Discourse Segmentation Marilyn Walker University of Pennsylvania* Computer Science Dept.</S><S sid = 305 ssid = >Marilyn A. Walker.</S> | Discourse Facet:  NA | Annotator: Automatic


