Citance Number: 1 | Reference Article: N06-2049.xml | Citing Article: C10-2139.xml | Citation Marker Offset: ['290'] | Citation Marker: Zh ang et al., 200 6 | Citation Offset: ['290','305'] | Citation Text: <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S> | Reference Offset: ['111','104','129'] | Reference Text: <S sid="104" ssid="33">Comparing Table 1 and 2, we found the CRF-modeled IOB tagging yielded better segmentation than the dictionary- based approach.</S> <S sid="111" ssid="40">We found the results in Table 3 were better than those in Table 2 and Table 1, which prove that using confidence measure approach achieved the best performance over the dictionary-based segmentation and the IOB tagging approach.</S> <S sid="129" ssid="58">95 1 Table 4: Comparison our results with the best ones from Sighan Bakeoff 2005 in terms of F-score ivs than Table 2.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot


Citance Number: 2 | Reference Article: N06-2049.xml | Citing Article: D13-1031.xml | Citation Marker Offset: ['274'] | Citation Marker: 2006 | Citation Offset: ['273','274'] | Citation Text: <S sid ="273" ssid = "109">CRF + Rule system represents a combination of CRF model and rule based model presented in Zhang et al.</S><S sid ="274" ssid = "110">(2006).</S> | Reference Offset: ['104','152','134'] | Reference Text: <S sid="104" ssid="33">Comparing Table 1 and 2, we found the CRF-modeled IOB tagging yielded better segmentation than the dictionary- based approach.</S> <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> <S sid="152" ssid="2">Using the CRFs approaches, we prove that it outperformed the character- based method using the CRF approaches.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Aakansha Gehlot


Citance Number: 3 | Reference Article: N06-2049.xml | Citing Article: I08-4009.xml | Citation Marker Offset: ['19'] | Citation Marker: Zhang et al., 2006a | Citation Offset: ['19'] | Citation Text: <S sid ="19" ssid = "19">Consequently, many strategies are proposed to balance the IV and OOV performance (Goh et al., 2005), (Zhang et al., 2006a).</S> | Reference Offset: ['154','17','112'] | Reference Text: <S sid="17" ssid="17">By this approach we can change R-oovs and R-ivs and find an optimal tradeoff.</S> <S sid="112" ssid="41">The act of confidence measure made a tradeoff between R-ivs and R- oovs, yielding higher R-oovs than Table 1 and higher R R P FR oo vR iv A S 0.9 53 0.9 56 0.9 44 0.9 47 0.9 48 0.9 51 0.</S> <S sid="154" ssid="4">This approach is effective for performing desired segmentation based on usersÃḃÂÂ requirements to R-oov and R-iv.</S> | Discourse Facet: Implication_Citation | Annotator: Aakansha Gehlot


Citance Number: 4 | Reference Article: N06-2049.xml | Citing Article: I08-4009.xml | Citation Marker Offset: ['20'] | Citation Marker: Zhang et al., 2006a | Citation Offset: ['20'] | Citation Text: <S sid ="20" ssid = "20">Among these strategies, the confidence measure used to combine the results of CT and DS is a straightforward one, which is introduced in (Zhang et al., 2006a).</S> | Reference Offset: ['57','58','108'] | Reference Text: <S sid="57" ssid="35">In this section we introduce a confidence measure approach to combine the two results.</S> <S sid="58" ssid="36">We define a confidence measure, C M(tiob |w), to measure the confidence of the results produced by the IOB tagging by using the results from the dictionary-based segmentation.</S> <S sid="108" ssid="37">In section 2.2, we proposed a confidence measure approach to reevaluate the results of IOB tagging by combinations of the results of the dictionary-based segmentation.</S> | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot

