Citance Number: 1 | Reference Article:  D08-1065.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also analytically show that interpolating these n-gram models for different n is similar to minimum risk decoding for BLEU (Tromble et al,2008).</S> | Reference Offset:  ['0','187'] | Reference Text:  <S sid = 0 ssid = >Lattice Minimum Bayes-Risk Decoding for Statistical Machine Translation</S><S sid = 187 ssid = >We have presented a procedure for performing Minimum Bayes-Risk Decoding on translation lattices.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1065.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We geometrically interpolate the resulting approximations q with one another (and with the original distribution p), justifying this interpolation as similar to the minimum-risk decoding for BLEU proposed by Tromble et al (2008).</S> | Reference Offset:  ['0','187'] | Reference Text:  <S sid = 0 ssid = >Lattice Minimum Bayes-Risk Decoding for Statistical Machine Translation</S><S sid = 187 ssid = >We have presented a procedure for performing Minimum Bayes-Risk Decoding on translation lattices.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1065.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We now observe that our variational decoding resembles the MBR decoding of Tromble et al (2008).</S> | Reference Offset:  ['49','140'] | Reference Text:  <S sid = 49 ssid = >We now present MBR decoding on translation lattices.</S><S sid = 140 ssid = >We first compare lattice MBR to N-best MBR decoding and MAP decoding (Table 2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1065.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that Tromble et al (2008) only consider MBR for a lattice without hidden structures, though their method can be in principle applied in a hyper graph with spurious ambiguity.</S> | Reference Offset:  ['210','213'] | Reference Text:  <S sid = 210 ssid = >While we have applied lattice MBR decoding to the approximate BLEU score, we note that our procedure (Section 3) is applicable to other gain functions which can be decomposed as a sum of local gain functions.</S><S sid = 213 ssid = >Zollmann and Venugopal (2006)) can generate a hypergraph that represents a generalized translation lattice with words and hidden tree structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D08-1065.txt | Citing Article:  P14-2023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['68','217'] | Reference Text:  <S sid = 68 ssid = >There are four steps involved in decoding starting from weighted finite-state automata representing the candidate outputs of a translation system.</S><S sid = 217 ssid = >We hope that our approach will provide some insight into the design of lattice-based search procedures along with the use of non-linear, global loss functions such as BLEU.</S> | Discourse Facet:  NA | Annotator: Automatic


