Citance Number: 1 | Reference Article:  P05-1073.txt | Citing Article:  W05-0636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Reranking has previously been applied to semantic role labeling by Toutanova et al (2005), from which we use several features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our local models for semantic role labeling use this decomposition.</S><S sid = NA ssid = NA>As previously observed (Pradhan et al., 2004), including modifying arguments in sequence features is not helpful.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1073.txt | Citing Article:  P14-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2005) introduced one of the first joint approaches for SRL and demonstrated that a model that scores the full predicate argument structure of a parse tree could lead to significant error reduction over independent classifiers for each predicate-argument relation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As our results show, the error reduction of our joint model with respect to the local model is more modest in this setting.</S><S sid = NA ssid = NA>In this framework, we can define arbitrary features of labeled trees that capture general properties of predicate-argument structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1073.txt | Citing Article:  C10-2160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program.</S><S sid = NA ssid = NA>Suppose we want the most likely consistent assignment for subtree t with children trees t1, ... , tk each storing the most likely consistent assignment of nodes it dominates as well as the log-probability of the assignment of all nodes it dominates to NONE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1073.txt | Citing Article:  P07-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Accordingly, we do not maximize the probability of the entire labeled parse tree as in (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This sequence of labeled nodes is defined with respect to the left-to-right order of constituents in the parse tree.</S><S sid = NA ssid = NA>In the context of role labeling, we call a classifier local if it assigns a probability (or score) to the label of an individual parse tree node ni independently of the labels of other nodes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1073.txt | Citing Article:  W06-2908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To enforce this constraint, we employ the approach presented by Toutanova et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One advantage of log-linear models over SVMs for us is that they produce probability distributions and thus identification A problem with this approach is that a maximizing labeling of the nodes could possibly violate the constraint that argument nodes should not overlap with each other.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


