Citance Number: 1 | Reference Article:  N01-1021.txt | Citing Article:  P10-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Hale (2001) and Levy (2008), among others, the syntactic processor uses an incremental probabilistic Earley parser to compute a metric which correlates with increased reading difficulty.</S> | Reference Offset:  ['0','42'] | Reference Text:  <S sid = 0 ssid = >A Probabilistic Earley Parser As A Psycholinguistic Model</S><S sid = 42 ssid = >The computation of prefix probabilities takes advantage of the design of the Earley parser (Earley, 1970) which by itself is not probabilistic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1021.txt | Citing Article:  P10-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using the prefix probability, we can compute the word-by-word Surprisal (Hale, 2001), by taking the log ratio of the previous word's prefix probability against this word's prefix probability.</S> | Reference Offset:  ['38','92'] | Reference Text:  <S sid = 38 ssid = >Stolcke’s algorithm solves this problem by computing, at each word of an input string, the prefix probability.</S><S sid = 92 ssid = >Scaling this number by taking its log gives the surprisal, and defines a word-based measure of cognitive effort in terms of the prefix-based one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1021.txt | Citing Article:  P10-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the introduction of a parser-based calculation for surprisal by Hale (2001), statistical techniques have been become common as models of reading difficulty and linguistic complexity.</S> | Reference Offset:  ['26','92'] | Reference Text:  <S sid = 26 ssid = >Traditional language models used for speech are ngram models, in which n − 1 words of history serve as the basis for predicting the nth word.</S><S sid = 92 ssid = >Scaling this number by taking its log gives the surprisal, and defines a word-based measure of cognitive effort in terms of the prefix-based one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1021.txt | Citing Article:  P10-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Surprisal (Hale, 2001) is then a straightforward calculation from the prefix probability.</S> | Reference Offset:  ['40','55'] | Reference Text:  <S sid = 40 ssid = >If the grammar is consistent (the probabilities of all derivations sum to 1.0) then subtracting the prefix probability from 1.0 gives the total probability of all the analyses the parser has disconfirmed.</S><S sid = 55 ssid = >Stolcke’s innovation, as regards prefix probabilities is to add two additional pieces of information to each state: α, the forward, or prefix probability, and y the “inside” probability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N01-1021.txt | Citing Article:  W10-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both Hale (2001) and Levy (2008) used a Probabilistic Context Free Grammar (PCFG) as a language model in their implementations of surprisal theory.</S> | Reference Offset:  ['30','83'] | Reference Text:  <S sid = 30 ssid = >The grammar it parses is a probabilistic context-free phrase structure grammar (PCFG), e.g.</S><S sid = 83 ssid = >The probabilistic Earley parser computes all parses of its input, so as a psycholinguistic theory it is a total parallelism theory.</S> | Discourse Facet:  NA | Annotator: Automatic


