Citance Number: 1 | Reference Article:  P01-1030.txt | Citing Article:  P01-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See (Brown et al, 1993) or (Germann et al, 2001) for a detailed discussion of this translation model and a description of its parameters.</S> | Reference Offset:  ['7','77'] | Reference Text:  <S sid = 7 ssid = >Brown et al. (1993) introduced a series of TMs based on word-for-word substitution and reordering, but did not include a decoding algorithm.</S><S sid = 77 ssid = >The multistack decoder we describe is closely patterned on the Model 3 decoder described in the (Brown et al., 1995) patent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1030.txt | Citing Article:  P01-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The decoding algorithm that we use is a greedy one - see (Germann et al, 2001) for details.</S> | Reference Offset:  ['7','171'] | Reference Text:  <S sid = 7 ssid = >Brown et al. (1993) introduced a series of TMs based on word-for-word substitution and reordering, but did not include a decoding algorithm.</S><S sid = 171 ssid = >The results in Table 2, obtained with decoders that use a trigram language model, show that our greedy decoding algorithm is a viable alternative to the traditional stack decoding algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1030.txt | Citing Article:  P01-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As discussed by Germann et al (2001), the word-for-word gloss is constructed by aligning each French word fL with its most likely English translation efk.</S> | Reference Offset:  ['20','95'] | Reference Text:  <S sid = 20 ssid = >If two French words align to the same English word, then that English word is said to have a fertility of two.</S><S sid = 95 ssid = >The gloss is constructed by aligning each French word f with its most likely English translation ef(ef argmaxt(ef)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1030.txt | Citing Article:  D12-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to the work by Germann et al (2001), their decoder is deterministic and explores the entire neighbourhood of a state in order to identify the most promising step.</S> | Reference Offset:  ['58','77'] | Reference Text:  <S sid = 58 ssid = >Return to the second step (pop).</S><S sid = 77 ssid = >The multistack decoder we describe is closely patterned on the Model 3 decoder described in the (Brown et al., 1995) patent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P01-1030.txt | Citing Article:  W06-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar problem also occurs in an ILP formulation for machine translation which treats decoding as the Travelling Salesman Problem (Germann et al, 2001).</S> | Reference Offset:  ['0','115'] | Reference Text:  <S sid = 0 ssid = >Fast Decoding And Optimal Decoding For Machine Translation</S><S sid = 115 ssid = >Because any TSP problem instance can be transformed into a decoding problem instance, Model 4 decoding is provably NP-complete in the length of f. It is interesting to consider the reverse direction—is it possible to transform a decoding problem instance into a TSP instance?</S> | Discourse Facet:  NA | Annotator: Automatic


