Citance Number: 1 | Reference Article:  N01-1008.txt | Citing Article:  W02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach is a fully automated variant of the example selection algorithm introduced in Harabagiu et al (2001).</S> | Reference Offset:  ['11','71'] | Reference Text:  <S sid = 11 ssid = >7 Conclusion We have introduced a new data-driven method for corefresolution, implemented in the system.</S><S sid = 71 ssid = >We have introduced a new data-driven method for coreference resolution, implemented in the COCKTAIL system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1008.txt | Citing Article:  W02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar observations are made by Harabagiu et al (2001), who point out that intelligent selection of positive instances can potentially minimize the amount of knowledge required to perform coreference resolution accurately.</S> | Reference Offset:  ['0','25'] | Reference Text:  <S sid = 0 ssid = >Text And Knowledge Mining For Coreference Resolution</S><S sid = 25 ssid = >In our work, we approached the coreference resolution problem by trying to determine how much more knowledge is required to supplement the abovementioned knowledge-poor methods and how to derive that knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1008.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of such scoring functions include the Dempster Shafer rule (see Kehler (1997) and Bean and Riloff (2004)) and its variants (see Harabagiu et al (2001) and Luo et al (2004)).</S> | Reference Offset:  ['15','65'] | Reference Text:  <S sid = 15 ssid = >1997.</S><S sid = 65 ssid = >The performance measures have been obtained automatically using the MUC-6 coreference scoring program (Vilain et al. 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1008.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To expand our set of candidate partitions, we can potentially incorporate more high-performing coreference systems into our framework, which is flexible enough to accommodate even those that adopt knowledge-based (e.g., Harabagiu et al (2001)) and unsupervised approaches (e.g., Cardie and Wagstaff (1999), Bean and Riloff (2004)).</S> | Reference Offset:  ['16','31'] | Reference Text:  <S sid = 16 ssid = >CogNIAC: high precision coreference with limited knowledge and linguistic resources.</S><S sid = 31 ssid = >This bootstrapping mechanism inspired by the technique presented in (Riloff and Jones 1999) targets one of the most problematic forms of knowledge needed for coreference resolution: the semantic consistency of corefering nominals.</S> | Discourse Facet:  NA | Annotator: Automatic


