Citance Number: 1 | Reference Article:  P05-1057.txt | Citing Article:  H05-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These approaches include an enhanced HMM alignment model that uses part-of speech tags (Toutanova et al, 2002), a log-linear combination of IBM translation models and HMM models (Och and Ney, 2003), techniques that rely on dependency relations (Cherry and Lin, 2003), and a log-linear combination of IBM Model 3 alignment probabilities, POS tags, and bilingual dictionary coverage (Liu et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Och and Ney (2003) proposed Model 6, a log-linear combination of IBM translation models and HMM model.</S><S sid = NA ssid = NA>We use IBM Model 3 alignment probabilities, POS correspondence, and bilingual dictionary coverage as features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1057.txt | Citing Article:  P06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Liu et al., 2005) uses a log-linear model with a greedy search.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use a greedy search algorithm to search the alignment with highest probability in the space of all possible alignments.</S><S sid = NA ssid = NA>The greedy search algorithm for general loglinear models is formally described as follows: Input: e, f, eT, fT, and D Output: a The above search algorithm, however, is not efficient for our log-linear models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1057.txt | Citing Article:  P06-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will retrain the Chinese parser on Penn Chinese Treebank version 5.0 and try to improve word alignment quality using log-linear models as suggested in (Liu et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Log-Linear Models For Word Alignment</S><S sid = NA ssid = NA>The Chinese sentences in both the development and test corpus are segmented and POS tagged by ICTCLAS (Zhang et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1057.txt | Citing Article:  D07-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Liu et al, 2005) presented a log-linear model combining IBM Model 3 trained in both directions with heuristic features which resulted in a 1-to-1 alignment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have presented a framework for word alignment based on log-linear models between parallel texts.</S><S sid = NA ssid = NA>The relationship between the translation model and the alignment model is given by: Although IBM models are considered more coherent than heuristic models, they have two drawbacks.</S> | Discourse Facet:  NA | Annotator: Automatic


