Citance Number: 1 | Reference Article:  W96-0208.txt | Citing Article:  W97-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This includes basic linguistic problems such as morphological analysis (van den Bosch et al., 1996), parsing (Zelle and Mooney, 1996), word sense disambiguation (Mooney, 1996), and anaphora resolution (Aone and Bennett, 1996).</S> | Reference Offset:  ['20','147'] | Reference Text:  <S sid = 20 ssid = >In particular, the UCI Machine Learning Data Repository (Merz, Murphy, & Aha, 1996) was assembled to facilitate empirical comparisons.</S><S sid = 147 ssid = >Similar comparisons of a range of algorithms should also be performed on other natural language problems such as part-of-speech tagging (Church, 1988), prepositional phrase attachment (Hindle 8,/ Rooth, 1993), anaphora resolution (Anoe & Bennett, 1995), etc..</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W96-0208.txt | Citing Article:  W12-2507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mooney (1996) argues that Naive Bayes classification and perceptron classifiers are particularly fit for lexical sample word sense disambiguation problems, because they combine weighted evidence from all features rather than select a subset of features for early discrimination.</S> | Reference Offset:  ['122','131'] | Reference Text:  <S sid = 122 ssid = >Naive Bayes and perceptron are similar in that they both employ a weighted combination of all features.</S><S sid = 131 ssid = >Therefore, our results indicate that lexical disambiguation is perhaps best performed using methods that combine weighted evidence from all of the features rather tures actually present in the examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W96-0208.txt | Citing Article:  W02-0811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While it is unquestionable that certain algorithms are better suited to the WSD problem than others (for a comparison, see Mooney (1996)), it seems that, given similar input features, various algorithms exhibit roughly similar accuracies.</S> | Reference Offset:  ['1','122'] | Reference Text:  <S sid = 1 ssid = >This paper describes an experimental comparison of seven different learning algorithms on the problem of learning to disambiguate the meaning of a word from context.</S><S sid = 122 ssid = >Naive Bayes and perceptron are similar in that they both employ a weighted combination of all features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W96-0208.txt | Citing Article:  N01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Decision trees have been used in supervised learning approaches to word sense disambiguation, and have fared well in a number of comparative studies (e.g., (Mooney, 1996), (Pedersen and Bruce, 1997)).</S> | Reference Offset:  ['0','82'] | Reference Text:  <S sid = 0 ssid = >Comparative Experiments On Disambiguating Word Senses: An Illustration Of The Role Of Bias In Machine Learning</S><S sid = 82 ssid = >A number of effective concept-learning systems have employed decision lists (Clark & Niblett, 1989; Quinlan, 1993; Mooney Sc Califf, 1995) and they have already been successfully applied to lexical disambiguation (Yarowsky, 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


