Citance Number: 1 | Reference Article:  W06-0301.txt | Citing Article:  W07-2072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kim and Hovy (2006) integrated verb information from FrameNet and incorporated it into semantic role labeling.</S> | Reference Offset:  ['3','156'] | Reference Text:  <S sid = 3 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using data from FrameNet.</S><S sid = 156 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-0301.txt | Citing Article:  N10-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kim and Hovy (2006) and Bethard et al (2005) explore the usefulness of semantic roles provided by FrameNet (Fillmore et al, 2003) for both opinion holder and opinion target extraction.</S> | Reference Offset:  ['37','39'] | Reference Text:  <S sid = 37 ssid = >(Bethard et al., 2004) identify opinion propositions and holders.</S><S sid = 39 ssid = >Another related works are (Choi et al., 2005; Kim and Hovy, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-0301.txt | Citing Article:  N10-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to data sparseness, Kim and Hovy (2006) expand FrameNet data by using an unsupervised clustering algorithm.</S> | Reference Offset:  ['92','156'] | Reference Text:  <S sid = 92 ssid = >Data: We collected 8256 and 11877 sentences which were associated to opinion bearing frames for verbs and adjectives from FrameNet annotation data.</S><S sid = 156 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-0301.txt | Citing Article:  W10-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kim and Hovy (2006 ) used a FrameNet-based semantic role labeler to deter mine holder and topic of opinions.</S> | Reference Offset:  ['3','156'] | Reference Text:  <S sid = 3 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using data from FrameNet.</S><S sid = 156 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-0301.txt | Citing Article:  D10-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kim and Hovy (2006 )useda FrameNet-based semantic role labeler to deter mine holder and topic of opinions.</S> | Reference Offset:  ['3','156'] | Reference Text:  <S sid = 3 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using data from FrameNet.</S><S sid = 156 ssid = >This method uses semantic role labeling as an intermediate step to label an opinion holder and topic using FrameNet data.</S> | Discourse Facet:  NA | Annotator: Automatic


