Citance Number: 1 | Reference Article:  W01-0513.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (2001) applied LSA to the analysis of MWEs in the task of MWE discovery, by way of rescoring MWEs extracted from a corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Can semantic-only rescoring help?</S><S sid = NA ssid = NA>Although this strategy for evaluation is vectors for any word in a corpus (Schone and not flawless, it is reasonable and makes dynamic Jurafsky, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W01-0513.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, Schone and Jurafsky (2001) provide evidence that suggests that WordNet is as effective an evaluation resource as the web for MWE detection methods, despite its inherent size limitations and static nature.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet has definite advantages as an evaluation resource.</S><S sid = NA ssid = NA>Since WordNet is static and cannot report on all of a corpus’ n-grams, one may expect different performance by using a more all-encompassing, dynamic resource.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W01-0513.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schone and Jurafsky (Schone and Jurafsky, 2001) applied Latent-Semantic Analysis (LSA) to the analysis of MWEs in the task of MWE discovery, by way of rescoring MWEs extracted from the corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an attempt to improve MWU headword induction, we introduce several algorithms using Latent Semantic Analysis (LSA).</S><S sid = NA ssid = NA>Deerwester, et al (1990) introduced Latent Semantic Analysis (LSA) as a computational technique for inducing semantic relationships between words and documents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W01-0513.txt | Citing Article:  D11-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Regarding (i), Schone and Jurafsky (2001) compare the semantic vector of a phrase p and the vectors of its component words in two ways: one includes the contexts of p in the construction of the semantic vectors of the parts and one does not.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This seems to be a significant semantic vectors with weights (wi) set to either 1.0 component.</S><S sid = NA ssid = NA>Table 4 shows the algorithms’ compute semantic vectors for every proposed word performance (including proper nouns). n-gram C=X X ...X Since LSA involves word Though Internet dictionaries and WordNet are counts, we can also compute semantic vectors completely separate “gold standards,” results are surprisingly consistent.</S> | Discourse Facet:  NA | Annotator: Automatic


