Citance Number: 1 | Reference Article:  D08-1016.txt | Citing Article:  P14-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that finding taxonomy trees is a structurally identical problem to directed spanning trees (and thereby non-projective dependency parsing), for which belief propagation has previously been worked out in depth (Smith and Eisner, 2008).</S> | Reference Offset:  ['0','285'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing by Belief Propagation</S><S sid = 285 ssid = >Belief propagation improves non-projective dependency parsing with features that would make exact inference intractable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1016.txt | Citing Article:  P14-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The MST that is found using these edge scores is actually the minimum Bayes risk tree (Goodman, 1996) for an edge accuracy loss function (Smith and Eisner, 2008).</S> | Reference Offset:  ['53','217'] | Reference Text:  <S sid = 53 ssid = >TREE.</S><S sid = 217 ssid = >This procedure is equivalent to minimum Bayes risk (MBR) parsing (Goodman, 1996) with a dependency accuracy loss function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1016.txt | Citing Article:  D10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We present a unified view of two state-of-the-art non-projective dependency parsers, both approximate: the loopy belief propagation parser of Smith and Eisner (2008) and the relaxed linear program of Martins et al (2009).</S> | Reference Offset:  ['0','22'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing by Belief Propagation</S><S sid = 22 ssid = >(The method is approximate because a first-order parser must equally penalize all parses containing e', even those that do not in fact contain e.) This behavior is somewhat similar to parser stacking (Nivre and McDonald, 2008; Martins et al., 2008), in which a first-order parser derives some of its input features from the full 1-best output of another parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1016.txt | Citing Article:  D10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we show a formal connection between two recently-proposed approximate inference techniques for non-projective dependency parsing: loopy belief propagation (Smith and Eisner, 2008) and linear programming relaxation (Martins et al,2009).</S> | Reference Offset:  ['0','285'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing by Belief Propagation</S><S sid = 285 ssid = >Belief propagation improves non-projective dependency parsing with features that would make exact inference intractable.</S> | Discourse Facet:  NA | Annotator: Automatic


