Citance Number: 1 | Reference Article:  D08-1031.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1031.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To achieve roughly state-of-theart performance, RECONCILEACL09 employs a fairly comprehensive set of 61 features introduced in previous coreference resolution systems (see Bengtson and Roth (2008)).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Understanding the Value of Features for Coreference Resolution</S><S sid = 4 ssid = >This paper describes a rather simple pairwise classification model for coreference resolution, developed with a well-designed set of features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1031.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bengtson and Roth (2008) simply discard twinless CEs, but this solution is likely too lenient - it doles no punishment for mistakes on twinless annotated or extracted CEs and it would be tricked, for example, by a system that extracts only the CEs about which it is most confident.</S> | Reference Offset:  ['128','129'] | Reference Text:  <S sid = 128 ssid = >We do not use any other gold annotated input at evaluation time.</S><S sid = 129 ssid = >In Section 6 experiments we do not use any gold annotated input and do not assume mention types or boundaries are given.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1031.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D08-1031.txt | Citing Article:  P10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


