Citance Number: 1 | Reference Article:  E03-1009.txt | Citing Article:  C04-1191.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','137'] | Reference Text:  <S sid = 43 ssid = >We are therefore justified in ignoring ambiguity for the moment, since it vastly improves the efficiency of the algorithms.</S><S sid = 137 ssid = >We plan to use this stronger form of information using Pair Hidden Markov Models as described in (Clark, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E03-1009.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','137'] | Reference Text:  <S sid = 43 ssid = >We are therefore justified in ignoring ambiguity for the moment, since it vastly improves the efficiency of the algorithms.</S><S sid = 137 ssid = >We plan to use this stronger form of information using Pair Hidden Markov Models as described in (Clark, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E03-1009.txt | Citing Article:  D09-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Alexander Clarke's software, based on (Clark, 2003), to cluster the words, and then allow each word to be labeled with any part of speech tag seen in the data with any other word in the same cluster.</S> | Reference Offset:  ['37','55'] | Reference Text:  <S sid = 37 ssid = >Word baseline each word is in its own class.</S><S sid = 55 ssid = >This algorithm iteratively improves the likelihood of a given clustering by moving each word from its current cluster to the cluster that will give the maximum increase in likelihood, or leaving it in its original cluster if no improvement can be found.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E03-1009.txt | Citing Article:  C08-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since induction is founded to some extent upon disambiguating contexts, this work has some bearing on the evaluation of induced categories with corpus annotation; not only is there more than one tag set in existence (see discussion in Clark, 2003), but annotation schemes make distinctions that morphosyntactic contexts can not readily capture.</S> | Reference Offset:  ['22','28'] | Reference Text:  <S sid = 22 ssid = >First, early work used an informal evaluation of manually comparing the clusters or dendrograms produced by the algorithms with the authors' intuitive judgment of the lexical categories.</S><S sid = 28 ssid = >If we have a random set of tags the mutual information will be zero and the conditional entropy will be the same as the entropy of the tag set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E03-1009.txt | Citing Article:  W10-2909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a base tagger, we modify a leading unsupervised POS tagger (Clark, 2003) to constrain the distributions of word types across clusters to be Zipfian, allowing us to utilize a perplexity-based quality test.</S> | Reference Offset:  ['77','103'] | Reference Text:  <S sid = 77 ssid = >This just has the effect of discriminating between classes that will have lots of types (i.e. open class clusters) and clusters that tend to have few types (corresponding to closed class words).</S><S sid = 103 ssid = >We selected the 10 clusters with the largest number of zero frequency word types in.</S> | Discourse Facet:  NA | Annotator: Automatic


