Citance Number: 1 | Reference Article:  P05-3026.txt | Citing Article:  N07-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because of the fundamental nature of the semantic similarity problem, there are close connections with other areas of human language technologies such as information retrieval (Salton and Lesk, 1971), text alignment in machine translation (Jayaraman and Lavie, 2005), text summarization (Mani and Maybury, 1999), and textual coherence (Foltz et al, 1998).</S> | Reference Offset:  ['11','30'] | Reference Text:  <S sid = 11 ssid = >Attempts at combining the output of different systems have proved useful in other areas of language technologies, such as the ROVER approach for speech recognition (Fiscus 1997).</S><S sid = 30 ssid = >Each hypothesis translation is assigned a score based on the alignment information, the confidence of the individual systems, and a language model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-3026.txt | Citing Article:  W08-0309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['51','104'] | Reference Text:  <S sid = 51 ssid = >A hypothesis is considered “complete” if the next word chosen to extend the hypothesis is the explicit end-of-sentence marker from one of the original translation strings.</S><S sid = 104 ssid = >We wish to thank Robert Frederking, Ralf Brown and Jaime Carbonell for their valuable input and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-3026.txt | Citing Article:  D07-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Jayaraman and Lavie, 2005) tried to overcome this problem by using confidence scores and language models in order to rank a collection of synthetic combinations of words extracted from the original translation hypotheses.</S> | Reference Offset:  ['4','18'] | Reference Text:  <S sid = 4 ssid = >A decoding algorithm uses explicit word matches, in conjunction with confidence estimates for the various engines and a trigram language model in order to score and rank a collection of sentence hypotheses that are synthetic combinations of words from the various original engines.</S><S sid = 18 ssid = >A “decoding” algorithm then uses these alignments, in conjunction with confidence estimates for the various engines and a trigram language model, in order to score and rank a collection of sentence hypotheses that are synthetic combinations of words from the various original engines.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-3026.txt | Citing Article:  N09-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Combination techniques have earlier been applied to various applications including machine translation (Jayaraman and Lavie, 2005), part-of-speech tagging (Brill and Wu, 1998) and base noun phrase identification (Sang et al., 2000).</S> | Reference Offset:  ['13','21'] | Reference Text:  <S sid = 13 ssid = >The Pangloss system and work by several other researchers attempted to combine lattices from many different MT systems (Frederking et Nirenburg 1994, Frederking et al 1997; Tidhar & Küssner 2000; Lavie, Probst et al. 2004).</S><S sid = 21 ssid = >Translation quality is scored using the METEOR MT evaluation metric (Lavie, Sagae et al 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


