Citance Number: 1 | Reference Article:  W04-3219.txt | Citing Article:  W05-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, for this study we employ the MSR Paraphrase Corpus (Quirk et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The raters were presented with an input sentence and an output paraphrase from each system in random order to prevent bias toward any particular judgment.</S><S sid = NA ssid = NA>Koehn et al. 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3219.txt | Citing Article:  P09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, it has been shown that the coverage of the paraphrase patterns is not high enough, especially when the used paraphrase pat terns are long or complicated (Quirk et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Changing a single content word is a legitimate form of paraphrase, and the ability to paraphrase across an arbitrarily large sentence set and arbitrary domains is a desideratum of paraphrase research.</S><S sid = NA ssid = NA>Monolingual Machine Translation For Paraphrase Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3219.txt | Citing Article:  P09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Researchers employ the existing SMT models for PG (Quirk et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other researchers have sought to identify patterns in large unannotated monolingual corpora.</S><S sid = NA ssid = NA>Koehn et al. 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3219.txt | Citing Article:  P09-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baseline-1 follows the method pro posed in (Quirk et al, 2004), which generates paraphrases using typical SMT tools.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We apply statistical machine translation (SMT) tools to generate novel paraphrases of input sentences in the same language.</S><S sid = NA ssid = NA>Moreover, PR generates at least five (and often hundreds more) distinct paraphrases for each test sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3219.txt | Citing Article:  W07-0716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Quirk et al (2004) also generate sentential paraphrases using a monolingual corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We showed that this approach can be used to generate paraphrases that are preferred by humans to sentence-level paraphrases produced by other techniques.</S><S sid = NA ssid = NA>To generate paraphrases of a given input, a standard SMT decoding approach was used; this is described in more detail below.</S> | Discourse Facet:  NA | Annotator: Automatic


