Citance Number: 1 | Reference Article:  W02-2026.txt | Citing Article:  P06-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This idea is similar to translation lexicon extraction via a bridge language (Schafer and Yarowsky, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S><S sid = NA ssid = NA>No seed dictionary is required between English and the language of interest; a sizeable dictionary between the bridge language and English is necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-2026.txt | Citing Article:  P07-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, Schafer and Yarowsky (2002) have shown that these two techniques can be combined efficiently.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Correct translations are shown in bold.</S><S sid = NA ssid = NA>This behavior (shown quantatively in Figure 8) illustrates the contribution of consensus modeling over this set of diverse similarity measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-2026.txt | Citing Article:  W09-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schafer and Yarowsky, (2002) independently proposed using frequency, orthographic similarity and also showed improvements using temporal and wordburstiness similarity measures, in addition to context.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that in many cases the string-similarity-based orderings of the bridge candidates underperform individual non-string similarity measures, and they consistently underperform the weighted combiof all 8 similarity measures.</S><S sid = NA ssid = NA>English was lemmatized using a high-quality lemmatization utility; the Serbian, using minimally supervised morphological analysis as described in Yarowsky and Wicentowski (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-2026.txt | Citing Article:  W09-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our setup we used cosine similarity, Rapp (1999) used l1-norm metric after normalizing the vectors to unit length, Koehn and Knight (2002) used Spearman rank order correlation, and Schafer and Yarowsky (2002) use cosine similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The corpora used here are composed of news data, the majority of which was downloaded from the internet.</S><S sid = NA ssid = NA>The Serbian/Gujarati vocabularies we used were built by extracting all word types from the respective corpora, then filtering out lowfrequency words (since our similarity models require reliable corpus statistics) and very short words' (use of string distance to propose cognate candidates for very short words was seen to be unreliable in preliminary experiments).</S> | Discourse Facet:  NA | Annotator: Automatic


