Citance Number: 1 | Reference Article:  P08-2012.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >Thanks to the following members of the Stanford NLP reading group for helpful discussion: Sharon Goldwater, Michel Galley, Anna Rafferty.</S><S sid = 71 ssid = >This paper is based on work funded by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-2012.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the MUC6-TEST dataset, our system outperforms both Poon and Domingos (2008) (an unsupervised Markov Logic Network system which uses explicit constraints) and Finkel and Manning (2008) (a supervised system which uses ILP inference to reconcile the predictions of a pairwise classifier) on all comparable measures.</S> | Reference Offset:  ['17','18'] | Reference Text:  <S sid = 17 ssid = >For this goal, we put aside the anaphoricity classifier and focus on the pairwise classifier and transitivity constraints.</S><S sid = 18 ssid = >We build a pairwise logistic classifier, trained on all pairs of mentions, and then at test time we use an ILP solver equipped with transitivity constraints to find the most likely legal assignment to the variables which represent the pairwise decisions.1 Our results show a significant improvement compared to the naive use of the pairwise classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-2012.txt | Citing Article:  P13-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One could use ILP-based decoding in the style of Finkel and Manning (2008) and Song et al (2012) to attempt to explicitly find the optimal C with choice of a marginalized out, but we did not explore this option.</S> | Reference Offset:  ['15','63'] | Reference Text:  <S sid = 15 ssid = >However, when encoding constraints into their ILP solver, they did not enforce transitivity.</S><S sid = 63 ssid = >When using the MUC scorer, the ILP system always did worse than the D&B-STYLE baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-2012.txt | Citing Article:  P10-1124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our formulation is equivalent to the one suggested by Finkel and Manning (2008) in a coreference resolution task.</S> | Reference Offset:  ['0','54'] | Reference Text:  <S sid = 0 ssid = >Enforcing Transitivity in Coreference Resolution</S><S sid = 54 ssid = >However, coreference resolution is a clustering task, and many cluster scorers already exist.</S> | Discourse Facet:  NA | Annotator: Automatic


