Citance Number: 1 | Reference Article:  L08-1093.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper considers differences in texts in the well known Penn TreeBank (hereafter, PTB) and in particular, how these differences show up in the Penn Discourse TreeBank (Prasad et al, 2008).</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 69 ssid = >The latter called the interval-based approach considers the temporal mutual information in different time stamps.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  L08-1093.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Genre differences at the level of discourse in the PTB can be seen in the manual annotations of the Penn Discourse TreeBank (Prasad et al, 2008).</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 14 ssid = >In the past, some useful collocation models (Manning & Sch?tze, 1999) have been proposed such as mean and variance, hypothesis test, mutual information, etc. Some works analyze the weblogs from the aspect of time like the dynamics of weblogs in time and location (Mei, et al, 2006), the weblog posting behavior (Doran, Griffith & Henderson, 2006; Hurst, 2006), the topic extraction (Oka, Abe & Kato, 2006), etc. The impacts of events on social media are also discussed, e.g., the change of weblogs after London attack (Thelwall, 2006), the relationship between the warblog and weblogs (Kim, 2005; Thompson, 2003), etc. This paper is organized as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  L08-1093.txt | Citing Article:  P14-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn Discourse Treebank (PDTB) (Prasad et al., 2008) provides annotations for the arguments and relation senses of one hundred pre-selected discourse connectives over the news portion of the Penn Treebank corpus (Marcus et al, 1993).</S> | Reference Offset:  ['0','117'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 117 ssid = >The extracted collocation with unusual peak which is in terms of relative change of temporal mutual information is selected to represent an event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  L08-1093.txt | Citing Article:  W11-0420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The PDTB adopts a lexically grounded approach to discourse relation annotation (Prasad et al, 2008).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 6 ssid = >We compare our approach with the approach without considering the time interval.</S> | Discourse Facet:  NA | Annotator: Automatic


