Citance Number: 1 | Reference Article:  J94-4004.txt | Citing Article:  P99-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach as been adopted in generation (Bateman, 1997), (Bateman et al., 1991) and in machine translation most notably in (Dorr, 1994).</S> | Reference Offset:  ['39','45'] | Reference Text:  <S sid = 39 ssid = >Classification of Machine Translation Divergences The divergence problem in machine translation has received increasingly greater at- tention in recent literature (see, for example, Barnett et al.</S><S sid = 45 ssid = >(See Barnett et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-4004.txt | Citing Article:  P13-2055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using these simple, language agnostic measures allows one to look for divergence types such as those described by Dorr (1994).</S> | Reference Offset:  ['19','134'] | Reference Text:  <S sid = 19 ssid = >Finally, the formalization of the divergence types and the associated solution allows one to prove certain proper- ties about the system.</S><S sid = 134 ssid = >Introducing the notion of language-to-interlingua divergence allows the translation mapping to be defined in terms of a representation that is general enough to carry over to several different language pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-4004.txt | Citing Article:  P03-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, real bitexts generally do not exhibit parse-tree isomorphism, whether because of systematic differences between how languages express a concept syntactically (Dorr, 1994).</S> | Reference Offset:  ['83','352'] | Reference Text:  <S sid = 83 ssid = >which corresponds to the tree-like representation shown in Figure 4.</S><S sid = 352 ssid = >In cases in which more than one lexical entry matches a current concept, his constraint is used to determine which possibil</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-4004.txt | Citing Article:  W02-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We suggest that alignment constraints such as this one can be used to define most of the possible syntactic divergences between languages (Dorr, 1994),.</S> | Reference Offset:  ['61','123'] | Reference Text:  <S sid = 61 ssid = >We now turn to a formal description of the terminology used to define the diver- gence problem.</S><S sid = 123 ssid = >However, it is also possible to define a divergence from an interlingual point of view, i.e., with respect to an underlying representation (lexical conceptual structure) that has been chosen to describe the source and target language sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J94-4004.txt | Citing Article:  H05-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Theoretically, it is well-known that two languages often do not express the same meaning in the same way (Dorr, 1994).</S> | Reference Offset:  ['259','340'] | Reference Text:  <S sid = 259 ssid = >The one not shown here corresponds to the possessional sense of haben, i.e., the meaning corresponding to the word have in English.</S><S sid = 340 ssid = >An example of such a case is the way construction.</S> | Discourse Facet:  NA | Annotator: Automatic


