Citance Number: 1 | Reference Article:  P11-1055.txt | Citing Article:  P14-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Distant supervision is provided by the following constraint: every relation instance r (e 1, e 2) K must be expressed by at least one sentence in S (e 1, e 2), the set of sentences that mention both e 1 and e 2 (Hoffmann et al, 2011).</S> | Reference Offset:  ['89','91'] | Reference Text:  <S sid = 89 ssid = >Given the set of matches, define Σ to be set of NY Times sentences with two matched phrases, E to be the set of Freebase entities which were mentioned in one or more sentences, Δ to be the set of Freebase facts whose arguments, e1 and e2 were mentioned in a sentence in Σ, and R to be set of relations names used in the facts of Δ.</S><S sid = 91 ssid = >We use the set of sentence-level features described by Riedel et al. (2010), which were originally developed by Mintz et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-1055.txt | Citing Article:  P14-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We then extract relation instances from each parse and apply the greedy inference algorithm from Hoffmann et al, (2011) to identify the best set of parses that satisfy the distant supervision constraint.</S> | Reference Offset:  ['4','91'] | Reference Text:  <S sid = 4 ssid = >We apply our model to learn extractors for NY Times text using weak supervision from Freebase.</S><S sid = 91 ssid = >We use the set of sentence-level features described by Riedel et al. (2010), which were originally developed by Mintz et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-1055.txt | Citing Article:  D12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our work is closest to Hoffmann et al 2011). They address the same problem we do (binary relation extraction) with a MIML model, but they make two approximations.</S> | Reference Offset:  ['28','94'] | Reference Text:  <S sid = 28 ssid = >In general, the corpuslevel extraction problem is easier, since it need only make aggregate predictions, perhaps using corpuswide statistics.</S><S sid = 94 ssid = >However, unlike the previous work, we did not make use of any features that explicitly aggregate these properties across multiple mention instances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-1055.txt | Citing Article:  D12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, our implementation has several advantages over the original model: (a) we model each relation mention independently, whereas Mintz et al collapsed all the mentions of the same entity tuple into a single datum; (b) we allow multi-label outputs for a given entity tuple at prediction time by OR-ing the predictions for the individual relation mentions corresponding to the tuple (similarly to (Hoffmann et al2011)).</S> | Reference Offset:  ['22','149'] | Reference Text:  <S sid = 22 ssid = >A relation mention is a sequence of text (including one or more entity mentions) which states that some ground fact r(e) is true.</S><S sid = 149 ssid = >While the Riedel et al. approach does include a model of which sentences express relations, it makes significant use of aggregate features that are primarily designed to do entity-level relation predictions and has a less detailed model of extractions at the individual sentence level.</S> | Discourse Facet:  NA | Annotator: Automatic


