Citance Number: 1 | Reference Article:  W04-0803.txt | Citing Article:  W05-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To date PropBank and FrameNet are the two main resources in English for training semantic role labelling systems, as in the CoNLL-2004 shared task (Carreras and Marquez, 2004) and SENSEVAL-3 (Litkowski, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Senseval-3 Task: Automatic Labeling Of Semantic Roles</S><S sid = NA ssid = NA>The SENSEVAL-3 task to perform automatic labeling of semantic roles was designed to encourage research into and use of the FrameNet dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-0803.txt | Citing Article:  W06-2611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also from these 321 frames only 100 were considered to have enough training data and were used in Senseval-3 (see Litkowski, 2004 for more details).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Senseval-3 task used 8,002 of these sentences selected randomly from 40 frames (also selected randomly) having at least 370 annotations (out of the 100 frames having the most annotations).1 Participants were provided with a training set that identified, for each of the 40 frames, the lexical unit identification number (which equates to a file name) and a sentence identification name.</S><S sid = NA ssid = NA>In some cases, they used all frames as a basis for training and in others, they 5The diversity of frame elements in the test data has not yet been investigated, so the assertion that this task is more difficult is based solely on the general expansion of FrameNet. employed novel grouping methods based on the similarities among different frames.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-0803.txt | Citing Article:  P06-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although the strict measures are more interesting, we include these figures for comparison with the systems participating in the Senseval-3 Restricted task (Litkowski, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This Senseval-3 task calls for the development of systems to meet the same objectives as the Gildea and Jurafsky study.</S><S sid = NA ssid = NA>Senseval-3 Task: Automatic Labeling Of Semantic Roles</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-0803.txt | Citing Article:  W07-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This task is a more advanced and realistic version of the Automatic Semantic Role Labeling task of Senseval-3 (Litkowski, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Senseval-3 Task: Automatic Labeling Of Semantic Roles</S><S sid = NA ssid = NA>The SENSEVAL-3 task to perform automatic labeling of semantic roles was designed to encourage research into and use of the FrameNet dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


