Citance Number: 1 | Reference Article:  W03-1730.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Note that the top participant of CTBc (Zhang et al, 2003) used additional named entity knowledge/data in their word segmenter).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Except for some named entity corpus, we could not get any more sources related to CTB standard.</S><S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1730.txt | Citing Article:  P14-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ICTCLAS Segmenter: this model, trained by Zhang et al (2003), is a hierarchicalHMM segmenter that incorporates parts-of speech (POS) information into the probability models and generates multiple HMM mod els for solving segmentation ambiguities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>According to named entities in the given corpus, we could train both class-based segmentation HMM and rolebased HMM model for unknown word recognition.</S><S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1730.txt | Citing Article:  W10-3703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ICTCLAS (Zhang et al., 2003), a tool developed by the Institute of Computing Technology of Chinese Academy of Sciences (ICT), is used for word segmentation and part-of-speech tagging.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ICT (Institute of Computing Technology, Chinese Academy of Sciences) participated the First International Chinese Word Segmentation Bakeoff.</S><S sid = NA ssid = NA>Before the bakeoff, BIG5-coded word segmentation has never been researched in our institute.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1730.txt | Citing Article:  P13-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Then we apply a hierarchical Hidden Markov Model (HMM) based Chinese lexical analyzer ICTCLAS (Zhang et al, 2003) to extract named entities, noun phrases and events.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HHMM-Based Chinese Lexical Analyzer ICTCLAS</S><S sid = NA ssid = NA>According to named entities in the given corpus, we could train both class-based segmentation HMM and rolebased HMM model for unknown word recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W03-1730.txt | Citing Article:  W08-0335.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>HMMsegmenter (Zhang et al, 2003) that uses the specifications of PKU.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>Actually, PKU standard is very different from CTB one though they seemed similar.</S> | Discourse Facet:  NA | Annotator: Automatic


