Citance Number: 1 | Reference Article:  N04-1022.txt | Citing Article:  P13-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Minimum Bayes Risk (MBR) techniques have been successfully applied to a wide range of natural language processing tasks, such as statistical machine translation (Kumar and Byrne, 2004), automatic speech recognition (Goel and Byrne, 2000), parsing (Titov and Henderson, 2006), etc.</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Minimum Bayes-Risk Decoding For Statistical Machine Translation</S><S sid = 12 ssid = >We apply the Minimum Bayes-Risk (MBR) techniques developed for automatic speech recognition (Goel and Byrne, 2000) and bitext word alignment for statistical MT (Kumar and Byrne, 2002), to the problem of building automatic MT systems tuned for specific metrics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1022.txt | Citing Article:  W10-1756.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This solution is often referred to as the Minimum Bayes Risk (MBR) solution (Kumar and Byrne,2004).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Minimum Bayes-Risk Decoding For Statistical Machine Translation</S><S sid = 1 ssid = >We present Minimum Bayes-Risk (MBR) decoding for statistical machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1022.txt | Citing Article:  D07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This list is then rescored using Minimum Bayes-Risk (MBR) decoding (Kumar and Byrne, 2004).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Minimum Bayes-Risk Decoding For Statistical Machine Translation</S><S sid = 1 ssid = >We present Minimum Bayes-Risk (MBR) decoding for statistical machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1022.txt | Citing Article:  P09-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The corresponding minimum Bayes risk (MBR) procedure maximizes the expected similarity score of a system 's translations relative to the model 's distribution over possible translations (Kumar and Byrne, 2004).</S> | Reference Offset:  ['1','84'] | Reference Text:  <S sid = 1 ssid = >We present Minimum Bayes-Risk (MBR) decoding for statistical machine translation.</S><S sid = 84 ssid = >This is measured through Bayes-Risk : The expectation is taken under the true distribution that describes translations of human quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N04-1022.txt | Citing Article:  P11-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consensus decoding procedures select translations for a single system with a minimum Bayes risk (MBR) (Kumar and Byrne, 2004).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Minimum Bayes-Risk Decoding For Statistical Machine Translation</S><S sid = 1 ssid = >We present Minimum Bayes-Risk (MBR) decoding for statistical machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


