Citance Number: 1 | Reference Article:  C92-1038.txt | Citing Article:  W96-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, as in (Reiter and Dale, 1992), we stipulate that some attributes of entities are more important than others, and that some words more naturally describe those attributes.</S> | Reference Offset:  ['95','117'] | Reference Text:  <S sid = 95 ssid = >Every entity has as one of its attributes ome type .</S><S sid = 117 ssid = >The  A lgor i thm In general terms, the algorithm iterates through the attributes in *preferred-attributes*.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C92-1038.txt | Citing Article:  P04-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike in traditional generation, the starting point in1The predicate dog1 is selected because it has a dis tin guished status, referred to as type in Reiter and Dale (1992).</S> | Reference Offset:  ['23','205'] | Reference Text:  <S sid = 23 ssid = >We here follow Dale and Haddock [DH91] in assum- ing that a referring expression satisfies the referential communicative goal if it is a d is t ingu ish ing  de- acript ion, i.e., if it is an accurate description of the entity being referred to, but not of any other object in the current context  set.</S><S sid = 205 ssid = >[Da188] Robert Dale.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C92-1038.txt | Citing Article:  P04-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The incremental algorithm (Reiter and Dale, 1992) is the most widely discussed attribute selection algorithm.</S> | Reference Offset:  ['69','239'] | Reference Text:  <S sid = 69 ssid = >Which attribute should be used?</S><S sid = 239 ssid = >Incremental speech produc- tion and referential overspeeificatlon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C92-1038.txt | Citing Article:  N06-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In terms of the referring expression generation algorithm described by (Reiter and Dale, 1992), in which the description which eliminates the most dis tractors is selected, our 1http: //www.cs.waikato.ac.nz/ml/weka/ 2not all positive examples were visible 159results suggest that the human subjects chose to reduce the size of the dis tractor set before producing a description, presumably in order to reduce the computational load required to calculate the optimal description.</S> | Reference Offset:  ['29','47'] | Reference Text:  <S sid = 29 ssid = >The small dog would also be a succ~csful referring expre~-~ion i this context, under the distinguishing description model.</S><S sid = 47 ssid = >For example, the small black dog is not acceptable if the black dog is a dis- tinguishing description, since this means small is an unnecessary component.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C92-1038.txt | Citing Article:  W08-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Reiter and Dale (1992) describe a fast algorithm for generating referring expressions in the context of a natural language generation system.</S> | Reference Offset:  ['89','245'] | Reference Text:  <S sid = 89 ssid = >The algorithm has been implemented as part  of a larger natural- language generation system, and we are pleased with its performance to date.</S><S sid = 245 ssid = >Generating Appropriate Natural Language Object Descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


