Citance Number: 1 | Reference Article:  C02-1150.txt | Citing Article:  W03-0412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach to QC follows that of (Li and Roth, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3 discusses the learning issues involved in QC and presents ourlearning approach; Sec.</S><S sid = NA ssid = NA>The paper is organized as follows: Sec.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1150.txt | Citing Article:  P14-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We will use the TREC dataset provided by Li and Roth (2002), which assigns 6000 questions with both a coarse and a fine-grained label.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first classifies questions into coarse classes (Coarse Classifier) and the second into fineclasses (Fine Classifier).</S><S sid = NA ssid = NA>Then each coarse class label in C 1 is expanded to a fixed set of fine classesdetermined by the class hierarchy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1150.txt | Citing Article:  W11-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This scheme is more suitable here than other common answer-typing schemata such as the one in Li and Roth (2002), which tend to focus on questions asking for factual knowledge.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The intension is that this 1We do not address questions like ?Do you have a light??, which calls for an action, but rather only factual Wh-questions.</S><S sid = NA ssid = NA>Our feature sensors fail to determine that the focus of the question is ?speed?.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1150.txt | Citing Article:  N07-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is important because while large sets of existing questions can be obtained (Li and Roth, 2002), there are many fewer questions with available answers. Our experiments demonstrate that how-question specific unit lists consistently achieve higher answer identification performance than fixed-type, general purpose answer typing (which propose all numerical entities as answer candidates).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, determin ing the specific semantic type of the answer couldalso be beneficial in locating the answer and veri fying it.</S><S sid = NA ssid = NA>of the sought after answer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C02-1150.txt | Citing Article:  N07-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Li and Roth (2002) assign one of fifty possible types to a question based on features present in the question.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A question can be mapped to one of 50 pos sible classes (We call the set of all possible class labels for a given question a confusion set (Golding and Roth, 1999)).</S><S sid = NA ssid = NA>To avoid this problem,we allow our classifiers to assign multiple class la bels for a single question.</S> | Discourse Facet:  NA | Annotator: Automatic


