Citance Number: 1 | Reference Article:  J01-3003.txt | Citing Article:  W02-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Merlo and Stevenson, 2001) use grammatical features (acquired from corpora) to classify verbs into three semantic classes: unergative, unaccusative, and object-drop.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The verbs were to be classified into the three target classes—unergative, unaccusative, and object-drop— which were described in the instructions.</S><S sid = NA ssid = NA>The particular classification problem within which we investigate this hypothesis is the task of learning the three major classes of optionally intransitive verbs in English: unergative, unaccusative, and object-drop verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J01-3003.txt | Citing Article:  W05-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>there has been some work on the acquisition of thematic roles, (e.g., Merlo and Stevenson, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>These three classes are motivated by theoretical linguistic properties (see discussion and references below, and in Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J01-3003.txt | Citing Article:  D09-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, those works targeted a small subset of Levin classes, and a limited number of monosemous verbs; for example, Merlo and Stevenson (2001) studied three classes and 59 verbs, and Joanis et al (2008) focused on 14 classes and 835 verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, each of the three classes is comprised of multiple Levin classes, because the latter reflect more detailed semantic distinctions among the verbs (Levin 1993); thus, classification based on Levin's labeling would miss generalizations across the three broader classes.</S><S sid = NA ssid = NA>(For more detailed discussion concerning the linguistic properties of these classes, and the behavior of their component verbs, please see Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b].)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J01-3003.txt | Citing Article:  D09-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The value of this feature is computed by the method of Merlo and Stevenson (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>These three classes are motivated by theoretical linguistic properties (see discussion and references below, and in Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b]).</S> | Discourse Facet:  NA | Annotator: Automatic


